tau,rule,prospective,method,blocks,admitted_frac,breaches,breach_rate_among_admitted,mean_utility,mean_realized_violation,mean_ndcg
0.2,point-estimate,True,StaticBest-cal,45,1.0,0,0.0,0.6371747970918201,0.0020986641355832196,0.6371747970918201
0.2,point-estimate,True,CostGreedy-cal,45,1.0,0,0.0,0.6369378976128216,0.002774785044940251,0.6369378976128216
0.2,point-estimate,True,Static-Qwen3,45,0.8444444444444444,3,0.07894736842105263,0.3803687227257908,0.0886201981390771,0.6382872369767865
0.2,point-estimate,True,Static-SPLADE,45,1.0,0,0.0,0.6050170867690612,0.00020642359616777952,0.6050170867690612
0.2,point-estimate,True,Static-ColBERTv2,45,0.1111111111111111,1,0.2,0.03080076365781936,0.5833480052096466,0.5839478086171469
0.2,point-estimate,True,Static-E5,45,1.0,0,0.0,0.541808238639833,0.0,0.541808238639833
0.2,posthoc-oracle,False,CWC,45,1.0,0,0.0,0.6391314118180745,0.007169439806689095,0.6391314118180745
0.2,posthoc-oracle,False,StaticBest-cal,45,1.0,0,0.0,0.6371747970918201,0.0020986641355832196,0.6371747970918201
0.2,posthoc-oracle,False,CostGreedy-cal,45,1.0,0,0.0,0.6369378976128216,0.002774785044940251,0.6369378976128216
0.2,posthoc-oracle,False,Static-Qwen3,45,0.7777777777777778,0,0.0,0.4470353893924575,0.0886201981390771,0.6382872369767865
0.2,posthoc-oracle,False,Static-SPLADE,45,1.0,0,0.0,0.6050170867690612,0.00020642359616777952,0.6050170867690612
0.2,posthoc-oracle,False,Static-ColBERTv2,45,0.1111111111111111,0,0.0,0.0662772524288007,0.5833480052096466,0.5839478086171469
0.2,posthoc-oracle,False,Static-E5,45,1.0,0,0.0,0.541808238639833,0.0,0.541808238639833
