dataset,budget_ms,seed,method,certificate,eb-nocorrection,point-estimate,posthoc-oracle,realized,ndcg10
fiqa,80.0,13,CWC,0.451037645961961,0.33383659641089675,0.01231960914605057,0.006218905472636816,0.006218905472636816,0.7331937932881494
fiqa,80.0,13,StaticBest-cal,,0.32722375976005924,0.010649875621890547,0.004975124378109453,0.004975124378109453,0.7331937932881494
fiqa,80.0,13,CostGreedy-cal,,0.33383659641089675,0.01231960914605057,0.006218905472636816,0.006218905472636816,0.7331937932881494
fiqa,80.0,13,Static-Qwen3,,0.32722375976005924,0.010649875621890547,0.004975124378109453,0.004975124378109453,0.7331937932881494
fiqa,80.0,13,Static-SPLADE,,0.2850458392594048,0.0,0.0,0.0,0.6287176931864467
fiqa,80.0,13,Static-ColBERTv2,,0.8231685370770758,0.7038295735792326,0.7375621890547264,0.7375621890547264,0.5964419946941604
fiqa,80.0,13,Static-E5,,0.2850458392594048,0.0,0.0,0.0,0.5722571255628905
fiqa,80.0,17,CWC,0.4259438050943075,0.3280306014424079,0.0033244461999275858,0.0025673940949935813,0.0025673940949935813,0.6827909276664443
fiqa,80.0,17,StaticBest-cal,,0.3243525728262472,0.0016622230999637929,0.0038510911424903724,0.0038510911424903724,0.7099445517135625
fiqa,80.0,17,CostGreedy-cal,,0.3280306014424079,0.0033244461999275858,0.005134788189987163,0.005134788189987163,0.7099445517135625
fiqa,80.0,17,Static-Qwen3,,0.3243525728262472,0.0016622230999637929,0.0038510911424903724,0.0038510911424903724,0.7099445517135625
fiqa,80.0,17,Static-SPLADE,,0.31776948056735577,0.0,0.0,0.0,0.5983026197257808
fiqa,80.0,17,Static-ColBERTv2,,0.8074179868388195,0.6691515818601826,0.730423620025674,0.730423620025674,0.5772995198647266
fiqa,80.0,17,Static-E5,,0.31776948056735577,0.0,0.0,0.0,0.5488683519681298
fiqa,80.0,23,CWC,0.3946421352107072,0.28815308677216284,0.007217911847519569,0.00639386189258312,0.00639386189258312,0.7321925408536971
fiqa,80.0,23,StaticBest-cal,,0.28815308677216284,0.007217911847519569,0.0038363171355498722,0.0038363171355498722,0.7321925408536971
fiqa,80.0,23,CostGreedy-cal,,0.28815308677216284,0.007217911847519569,0.00639386189258312,0.00639386189258312,0.7321925408536971
fiqa,80.0,23,Static-Qwen3,,0.28815308677216284,0.007217911847519569,0.0038363171355498722,0.0038363171355498722,0.7321925408536971
fiqa,80.0,23,Static-SPLADE,,0.2595671649366391,0.0,0.0,0.0,0.6275363983511955
fiqa,80.0,23,Static-ColBERTv2,,0.8164347495991748,0.7014124214793607,0.7212276214833759,0.7212276214833759,0.6050684703860351
fiqa,80.0,23,Static-E5,,0.2595671649366391,0.0,0.0,0.0,0.5727542447402736
fiqa,80.0,29,CWC,0.3806549492337181,0.273570702568952,0.0,0.008771929824561403,0.008771929824561403,0.7213521099798316
fiqa,80.0,29,StaticBest-cal,,0.273570702568952,0.0,0.008771929824561403,0.008771929824561403,0.7213521099798316
fiqa,80.0,29,CostGreedy-cal,,0.273570702568952,0.0,0.008771929824561403,0.008771929824561403,0.7213521099798316
fiqa,80.0,29,Static-Qwen3,,0.273570702568952,0.0,0.006265664160401002,0.006265664160401002,0.7213521099798316
fiqa,80.0,29,Static-SPLADE,,0.273570702568952,0.0,0.0,0.0,0.6248678330053989
fiqa,80.0,29,Static-ColBERTv2,,0.8108052734572531,0.7123954845095932,0.7393483709273183,0.7393483709273183,0.6045440566382655
fiqa,80.0,29,Static-E5,,0.273570702568952,0.0,0.0,0.0,0.5686527647674817
fiqa,80.0,31,CWC,0.38645723684178507,0.2761076109352486,0.0061530009614064,0.006180469715698393,0.006180469715698393,0.7238211662308368
fiqa,80.0,31,StaticBest-cal,,0.2761076109352486,0.0061530009614064,0.004944375772558714,0.004944375772558714,0.7238211662308368
fiqa,80.0,31,CostGreedy-cal,,0.2761076109352486,0.0061530009614064,0.006180469715698393,0.006180469715698393,0.7238211662308368
