tau,rule,prospective,method,blocks,admitted_frac,breaches,breach_rate_among_admitted,mean_utility,mean_realized_violation,mean_ndcg
0.01,certificate,True,CWC,30,0.0,0,0.0,0.0,0.002389995240239385,0.5128152331723992
0.01,certificate,True,StaticBest-cal,30,0.0,0,0.0,0.0,0.0271124815777085,0.6000766818165407
0.01,certificate,True,CostGreedy-cal,30,0.0,0,0.0,0.0,0.029595449748149826,0.6000766818165407
0.01,certificate,True,Static-Qwen3,30,0.0,0,0.0,0.0,0.0271124815777085,0.6000766818165407
0.01,certificate,True,Static-SPLADE,30,0.0,0,0.0,0.0,0.0009528524000600725,0.5504208712139306
0.01,certificate,True,Static-ColBERTv2,30,0.0,0,0.0,0.0,0.7739387782173474,0.6264875566515679
0.01,certificate,True,Static-E5,30,0.0,0,0.0,0.0,0.00037508554809111014,0.4108148058259664
0.01,eb-nocorrection,True,CWC,30,0.0,0,0.0,0.0,0.002389995240239385,0.5128152331723992
0.01,eb-nocorrection,True,StaticBest-cal,30,0.0,0,0.0,0.0,0.0271124815777085,0.6000766818165407
0.01,eb-nocorrection,True,CostGreedy-cal,30,0.0,0,0.0,0.0,0.029595449748149826,0.6000766818165407
0.01,eb-nocorrection,True,Static-Qwen3,30,0.0,0,0.0,0.0,0.0271124815777085,0.6000766818165407
0.01,eb-nocorrection,True,Static-SPLADE,30,0.0,0,0.0,0.0,0.0009528524000600725,0.5504208712139306
0.01,eb-nocorrection,True,Static-ColBERTv2,30,0.0,0,0.0,0.0,0.7739387782173474,0.6264875566515679
0.01,eb-nocorrection,True,Static-E5,30,0.0,0,0.0,0.0,0.00037508554809111014,0.4108148058259664
0.01,point-estimate,True,CWC,30,1.0,0,0.0,0.5128152331723992,0.002389995240239385,0.5128152331723992
0.01,point-estimate,True,StaticBest-cal,30,0.6666666666666666,10,0.5,-0.13330777272781974,0.0271124815777085,0.6000766818165407
0.01,point-estimate,True,CostGreedy-cal,30,0.3333333333333333,0,0.0,0.2000255606055136,0.029595449748149826,0.6000766818165407
0.01,point-estimate,True,Static-Qwen3,30,0.6666666666666666,10,0.5,-0.13330777272781974,0.0271124815777085,0.6000766818165407
0.01,point-estimate,True,Static-SPLADE,30,1.0,0,0.0,0.5504208712139306,0.0009528524000600725,0.5504208712139306
0.01,point-estimate,True,Static-ColBERTv2,30,0.0,0,0.0,0.0,0.7739387782173474,0.6264875566515679
0.01,point-estimate,True,Static-E5,30,1.0,0,0.0,0.4108148058259664,0.00037508554809111014,0.4108148058259664
0.01,posthoc-oracle,False,CWC,30,1.0,0,0.0,0.5128152331723992,0.002389995240239385,0.5128152331723992
0.01,posthoc-oracle,False,StaticBest-cal,30,0.3333333333333333,0,0.0,0.2000255606055136,0.0271124815777085,0.6000766818165407
0.01,posthoc-oracle,False,CostGreedy-cal,30,0.3333333333333333,0,0.0,0.2000255606055136,0.029595449748149826,0.6000766818165407
0.01,posthoc-oracle,False,Static-Qwen3,30,0.3333333333333333,0,0.0,0.2000255606055136,0.0271124815777085,0.6000766818165407
0.01,posthoc-oracle,False,Static-SPLADE,30,1.0,0,0.0,0.5504208712139306,0.0009528524000600725,0.5504208712139306
0.01,posthoc-oracle,False,Static-ColBERTv2,30,0.0,0,0.0,0.0,0.7739387782173474,0.6264875566515679
0.01,posthoc-oracle,False,Static-E5,30,1.0,0,0.0,0.4108148058259664,0.00037508554809111014,0.4108148058259664
0.02,certificate,True,CWC,30,0.0,0,0.0,0.0,0.002389995240239385,0.5128152331723992
0.02,certificate,True,StaticBest-cal,30,0.0,0,0.0,0.0,0.0271124815777085,0.6000766818165407
0.02,certificate,True,CostGreedy-cal,30,0.0,0,0.0,0.0,0.029595449748149826,0.6000766818165407
0.02,certificate,True,Static-Qwen3,30,0.0,0,0.0,0.0,0.0271124815777085,0.6000766818165407
0.02,certificate,True,Static-SPLADE,30,0.0,0,0.0,0.0,0.0009528524000600725,0.5504208712139306
0.02,certificate,True,Static-ColBERTv2,30,0.0,0,0.0,0.0,0.7739387782173474,0.6264875566515679
0.02,certificate,True,Static-E5,30,0.0,0,0.0,0.0,0.00037508554809111014,0.4108148058259664
0.02,eb-nocorrection,True,CWC,30,0.9,0,0.0,0.4633009289554557,0.002389995240239385,0.5128152331723992
0.02,eb-nocorrection,True,StaticBest-cal,30,0.26666666666666666,0,0.0,0.16005096306322386,0.0271124815777085,0.6000766818165407
0.02,eb-nocorrection,True,CostGreedy-cal,30,0.2,0,0.0,0.12001949254139241,0.029595449748149826,0.6000766818165407
0.02,eb-nocorrection,True,Static-Qwen3,30,0.26666666666666666,0,0.0,0.16005096306322386,0.0271124815777085,0.6000766818165407
0.02,eb-nocorrection,True,Static-SPLADE,30,0.8666666666666667,0,0.0,0.4769689425808728,0.0009528524000600725,0.5504208712139306
0.02,eb-nocorrection,True,Static-ColBERTv2,30,0.0,0,0.0,0.0,0.7739387782173474,0.6264875566515679
0.02,eb-nocorrection,True,Static-E5,30,0.9333333333333333,0,0.0,0.3834907445711382,0.00037508554809111014,0.4108148058259664
0.02,point-estimate,True,CWC,30,1.0,0,0.0,0.5128152331723992,0.002389995240239385,0.5128152331723992
0.02,point-estimate,True,StaticBest-cal,30,0.7666666666666667,3,0.13043478260869565,0.3000511212110271,0.0271124815777085,0.6000766818165407
0.02,point-estimate,True,CostGreedy-cal,30,0.7666666666666667,13,0.5652173913043478,-0.2333077727278198,0.029595449748149826,0.6000766818165407
0.02,point-estimate,True,Static-Qwen3,30,0.7666666666666667,3,0.13043478260869565,0.3000511212110271,0.0271124815777085,0.6000766818165407
0.02,point-estimate,True,Static-SPLADE,30,1.0,0,0.0,0.5504208712139306,0.0009528524000600725,0.5504208712139306
0.02,point-estimate,True,Static-ColBERTv2,30,0.0,0,0.0,0.0,0.7739387782173474,0.6264875566515679
0.02,point-estimate,True,Static-E5,30,1.0,0,0.0,0.4108148058259664,0.00037508554809111014,0.4108148058259664
0.02,posthoc-oracle,False,CWC,30,1.0,0,0.0,0.5128152331723992,0.002389995240239385,0.5128152331723992
0.02,posthoc-oracle,False,StaticBest-cal,30,0.6666666666666666,0,0.0,0.40005112121102715,0.0271124815777085,0.6000766818165407
0.02,posthoc-oracle,False,CostGreedy-cal,30,0.3333333333333333,0,0.0,0.2000255606055136,0.029595449748149826,0.6000766818165407
0.02,posthoc-oracle,False,Static-Qwen3,30,0.6666666666666666,0,0.0,0.40005112121102715,0.0271124815777085,0.6000766818165407
0.02,posthoc-oracle,False,Static-SPLADE,30,1.0,0,0.0,0.5504208712139306,0.0009528524000600725,0.5504208712139306
0.02,posthoc-oracle,False,Static-ColBERTv2,30,0.0,0,0.0,0.0,0.7739387782173474,0.6264875566515679
0.02,posthoc-oracle,False,Static-E5,30,1.0,0,0.0,0.4108148058259664,0.00037508554809111014,0.4108148058259664
0.05,certificate,True,CWC,30,0.9666666666666667,0,0.0,0.49554219562685853,0.002389995240239385,0.5128152331723992
0.05,certificate,True,StaticBest-cal,30,0.3333333333333333,0,0.0,0.19978509640107117,0.0271124815777085,0.6000766818165407
0.05,certificate,True,CostGreedy-cal,30,0.26666666666666666,0,0.0,0.16005096306322386,0.029595449748149826,0.6000766818165407
0.05,certificate,True,Static-Qwen3,30,0.3333333333333333,0,0.0,0.19978509640107117,0.0271124815777085,0.6000766818165407
0.05,certificate,True,Static-SPLADE,30,0.9666666666666667,0,0.0,0.5318574674575239,0.0009528524000600725,0.5504208712139306
0.05,certificate,True,Static-ColBERTv2,30,0.0,0,0.0,0.0,0.7739387782173474,0.6264875566515679
0.05,certificate,True,Static-E5,30,1.0,0,0.0,0.4108148058259664,0.00037508554809111014,0.4108148058259664
0.05,eb-nocorrection,True,CWC,30,1.0,0,0.0,0.5128152331723992,0.002389995240239385,0.5128152331723992
0.05,eb-nocorrection,True,StaticBest-cal,30,0.7666666666666667,3,0.13043478260869565,0.3000511212110271,0.0271124815777085,0.6000766818165407
0.05,eb-nocorrection,True,CostGreedy-cal,30,0.7666666666666667,3,0.13043478260869565,0.3000511212110271,0.029595449748149826,0.6000766818165407
0.05,eb-nocorrection,True,Static-Qwen3,30,0.7666666666666667,3,0.13043478260869565,0.3000511212110271,0.0271124815777085,0.6000766818165407
0.05,eb-nocorrection,True,Static-SPLADE,30,1.0,0,0.0,0.5504208712139306,0.0009528524000600725,0.5504208712139306
0.05,eb-nocorrection,True,Static-ColBERTv2,30,0.0,0,0.0,0.0,0.7739387782173474,0.6264875566515679
0.05,eb-nocorrection,True,Static-E5,30,1.0,0,0.0,0.4108148058259664,0.00037508554809111014,0.4108148058259664
0.05,point-estimate,True,CWC,30,1.0,0,0.0,0.5128152331723992,0.002389995240239385,0.5128152331723992
0.05,point-estimate,True,StaticBest-cal,30,1.0,10,0.3333333333333333,0.06671778787769381,0.0271124815777085,0.6000766818165407
0.05,point-estimate,True,CostGreedy-cal,30,1.0,10,0.3333333333333333,0.06671778787769381,0.029595449748149826,0.6000766818165407
0.05,point-estimate,True,Static-Qwen3,30,1.0,10,0.3333333333333333,0.06671778787769381,0.0271124815777085,0.6000766818165407
0.05,point-estimate,True,Static-SPLADE,30,1.0,0,0.0,0.5504208712139306,0.0009528524000600725,0.5504208712139306
0.05,point-estimate,True,Static-ColBERTv2,30,0.0,0,0.0,0.0,0.7739387782173474,0.6264875566515679
0.05,point-estimate,True,Static-E5,30,1.0,0,0.0,0.4108148058259664,0.00037508554809111014,0.4108148058259664
0.05,posthoc-oracle,False,CWC,30,1.0,0,0.0,0.5128152331723992,0.002389995240239385,0.5128152331723992
0.05,posthoc-oracle,False,StaticBest-cal,30,0.6666666666666666,0,0.0,0.40005112121102715,0.0271124815777085,0.6000766818165407
0.05,posthoc-oracle,False,CostGreedy-cal,30,0.6666666666666666,0,0.0,0.40005112121102715,0.029595449748149826,0.6000766818165407
0.05,posthoc-oracle,False,Static-Qwen3,30,0.6666666666666666,0,0.0,0.40005112121102715,0.0271124815777085,0.6000766818165407
0.05,posthoc-oracle,False,Static-SPLADE,30,1.0,0,0.0,0.5504208712139306,0.0009528524000600725,0.5504208712139306
0.05,posthoc-oracle,False,Static-ColBERTv2,30,0.0,0,0.0,0.0,0.7739387782173474,0.6264875566515679
0.05,posthoc-oracle,False,Static-E5,30,1.0,0,0.0,0.4108148058259664,0.00037508554809111014,0.4108148058259664
0.1,certificate,True,CWC,30,1.0,0,0.0,0.5128152331723992,0.002389995240239385,0.5128152331723992
0.1,certificate,True,StaticBest-cal,30,0.6666666666666666,0,0.0,0.40005112121102715,0.0271124815777085,0.6000766818165407
0.1,certificate,True,CostGreedy-cal,30,0.4,0,0.0,0.23995388076043406,0.029595449748149826,0.6000766818165407
0.1,certificate,True,Static-Qwen3,30,0.6666666666666666,0,0.0,0.40005112121102715,0.0271124815777085,0.6000766818165407
0.1,certificate,True,Static-SPLADE,30,1.0,0,0.0,0.5504208712139306,0.0009528524000600725,0.5504208712139306
0.1,certificate,True,Static-ColBERTv2,30,0.0,0,0.0,0.0,0.7739387782173474,0.6264875566515679
0.1,certificate,True,Static-E5,30,1.0,0,0.0,0.4108148058259664,0.00037508554809111014,0.4108148058259664
0.1,eb-nocorrection,True,CWC,30,1.0,0,0.0,0.5128152331723992,0.002389995240239385,0.5128152331723992
0.1,eb-nocorrection,True,StaticBest-cal,30,1.0,0,0.0,0.6000766818165407,0.0271124815777085,0.6000766818165407
0.1,eb-nocorrection,True,CostGreedy-cal,30,1.0,0,0.0,0.6000766818165407,0.029595449748149826,0.6000766818165407
0.1,eb-nocorrection,True,Static-Qwen3,30,1.0,0,0.0,0.6000766818165407,0.0271124815777085,0.6000766818165407
0.1,eb-nocorrection,True,Static-SPLADE,30,1.0,0,0.0,0.5504208712139306,0.0009528524000600725,0.5504208712139306
0.1,eb-nocorrection,True,Static-ColBERTv2,30,0.0,0,0.0,0.0,0.7739387782173474,0.6264875566515679
0.1,eb-nocorrection,True,Static-E5,30,1.0,0,0.0,0.4108148058259664,0.00037508554809111014,0.4108148058259664
0.1,point-estimate,True,CWC,30,1.0,0,0.0,0.5128152331723992,0.002389995240239385,0.5128152331723992
0.1,point-estimate,True,StaticBest-cal,30,1.0,0,0.0,0.6000766818165407,0.0271124815777085,0.6000766818165407
0.1,point-estimate,True,CostGreedy-cal,30,1.0,0,0.0,0.6000766818165407,0.029595449748149826,0.6000766818165407
0.1,point-estimate,True,Static-Qwen3,30,1.0,0,0.0,0.6000766818165407,0.0271124815777085,0.6000766818165407
0.1,point-estimate,True,Static-SPLADE,30,1.0,0,0.0,0.5504208712139306,0.0009528524000600725,0.5504208712139306
0.1,point-estimate,True,Static-ColBERTv2,30,0.0,0,0.0,0.0,0.7739387782173474,0.6264875566515679
0.1,point-estimate,True,Static-E5,30,1.0,0,0.0,0.4108148058259664,0.00037508554809111014,0.4108148058259664
0.1,posthoc-oracle,False,CWC,30,1.0,0,0.0,0.5128152331723992,0.002389995240239385,0.5128152331723992
0.1,posthoc-oracle,False,StaticBest-cal,30,1.0,0,0.0,0.6000766818165407,0.0271124815777085,0.6000766818165407
0.1,posthoc-oracle,False,CostGreedy-cal,30,1.0,0,0.0,0.6000766818165407,0.029595449748149826,0.6000766818165407
0.1,posthoc-oracle,False,Static-Qwen3,30,1.0,0,0.0,0.6000766818165407,0.0271124815777085,0.6000766818165407
0.1,posthoc-oracle,False,Static-SPLADE,30,1.0,0,0.0,0.5504208712139306,0.0009528524000600725,0.5504208712139306
0.1,posthoc-oracle,False,Static-ColBERTv2,30,0.0,0,0.0,0.0,0.7739387782173474,0.6264875566515679
0.1,posthoc-oracle,False,Static-E5,30,1.0,0,0.0,0.4108148058259664,0.00037508554809111014,0.4108148058259664
