phase,dataset,budget_ms,seed,policy,n_eval,mean_ms,p50_ms,p95_ms,p99_ms,slo_violation,ndcg10,throughput_qps,distinct_plans,probe_ms,route_ms
closed_loop,nfcorpus,10.0,13,CWC,413,3.569663861951369,2.1316949278116226,7.277300022542477,7.96451263129711,0.0,0.09764844951334298,278.4746468823661,3,2.1204907953351304,0.2230225338377329
closed_loop,nfcorpus,10.0,13,StaticBest-cal,413,1.603313651247081,0.9187371470034122,3.48799261264503,3.8139862101525064,0.0,0.09857655881872242,616.5560319890322,1,0.0,0.0
closed_loop,nfcorpus,10.0,13,CostGreedy-cal,413,1.581012584792211,0.9032629895955324,3.451299015432596,3.6761099379509687,0.0,0.09857655881872242,625.4466481362754,1,0.0,0.0
closed_loop,nfcorpus,10.0,13,Static-BestQuality,413,86.25954560502534,72.84500799141824,136.54226083308458,142.47221319936216,1.0,0.1148178915281045,11.588331449022512,1,0.0,0.0
closed_loop,nfcorpus,10.0,13,Static-Fallback,413,1.6679104212355815,0.9735359344631433,3.5639689769595853,3.829215569421649,0.0,0.09857655881872242,592.5948848841607,1,0.0,0.0
closed_loop,nfcorpus,10.0,13,Oracle-perItem,413,0.8626928807802264,0.6364870350807905,2.3136216681450583,3.4077110141515727,0.0,0.12390453812770123,1120.6902203383395,5,0.0,0.0
closed_loop,nfcorpus,10.0,17,CWC,417,3.065717803555534,2.150509972125292,7.028124434873462,8.02487772889435,0.0,0.0990884226772884,323.0837405621144,4,2.239821193967577,0.2356700982219524
closed_loop,nfcorpus,10.0,17,StaticBest-cal,417,1.7080445041348464,0.974245136603713,3.6210777703672647,4.187769386917352,0.0,0.09997399203692924,578.8946006287296,1,0.0,0.0
closed_loop,nfcorpus,10.0,17,CostGreedy-cal,417,1.6578193882377528,0.9498079307377338,3.5182229708880186,3.7994818296283475,0.0,0.09997399203692924,596.460846950879,1,0.0,0.0
closed_loop,nfcorpus,10.0,17,Static-BestQuality,417,86.30387118807603,72.94462085701525,137.90856036357582,146.7035546712577,1.0,0.11205922079256127,11.582268772926307,1,0.0,0.0
closed_loop,nfcorpus,10.0,17,Static-Fallback,417,1.6448278905828293,0.9471909143030643,3.4867405891418457,3.7930383440107103,0.0,0.09997399203692924,601.1257398466469,1,0.0,0.0
closed_loop,nfcorpus,10.0,17,Oracle-perItem,417,0.8635516557619154,0.5918620154261589,2.4011075962334867,3.425250612199306,0.0,0.12541549348749445,1122.0089182350569,5,0.0,0.0
closed_loop,nfcorpus,10.0,23,CWC,431,3.3978105483797063,2.0804039668291807,7.288397988304496,7.917136186733842,0.0,0.09436802991424831,291.9224804293582,4,2.1568228789927164,0.22657341842394832
closed_loop,nfcorpus,10.0,23,StaticBest-cal,431,1.607059773917714,0.9190589189529419,3.452786011621356,3.769281646236777,0.0,0.09566274125569575,615.2536180332063,1,0.0,0.0
closed_loop,nfcorpus,10.0,23,CostGreedy-cal,431,1.6221177479005884,0.9295342024415731,3.5525094717741013,3.8280272390693417,0.0,0.09566274125569575,609.3351664034134,1,0.0,0.0
closed_loop,nfcorpus,10.0,23,Static-BestQuality,431,84.82889566579163,71.90369185991585,133.9542189380154,136.58997260499746,1.0,0.1039786896906859,11.783713026539294,1,0.0,0.0
closed_loop,nfcorpus,10.0,23,Static-Fallback,431,1.627592981432126,0.9414858650416136,3.4972750581800938,3.6911953706294294,0.0,0.09566274125569575,607.4469954734095,1,0.0,0.0
closed_loop,nfcorpus,10.0,23,Oracle-perItem,431,0.85875409300895,0.6158449687063694,2.371137379668653,3.28739355318248,0.0,0.12041164156885319,1128.4691422445337,5,0.0,0.0
closed_loop,nfcorpus,10.0,29,CWC,436,2.7529731266832815,1.8036775290966034,6.740721291862428,7.4397320742718875,0.0,0.09705354190835504,360.8770002998519,4,2.0864071498556624,0.22169377776546353
closed_loop,nfcorpus,10.0,29,StaticBest-cal,436,1.5777680294485676,0.9176884777843952,3.5158205428160727,3.807990357745438,0.0,0.09584184928777474,626.6189404287942,1,0.0,0.0
closed_loop,nfcorpus,10.0,29,CostGreedy-cal,436,1.5703777909714627,0.9086859645321965,3.4553426667116582,3.7669003359042104,0.0,0.09584184928777474,629.5464463530078,1,0.0,0.0
closed_loop,nfcorpus,10.0,29,Static-BestQuality,436,85.27684661585393,72.59599503595382,135.52737014833838,138.86043756501746,1.0,0.10901172420328578,11.721753923020911,1,0.0,0.0
closed_loop,nfcorpus,10.0,29,Static-Fallback,436,1.5540209047735558,0.919042038731277,3.395572362933308,3.7636318360455334,0.0,0.09584184928777474,636.2218795428147,1,0.0,0.0
closed_loop,nfcorpus,10.0,29,Oracle-perItem,436,0.8741512108560002,0.6128016393631697,2.3670793743804097,3.50106778787449,0.0,0.12148392950466645,1107.8314807366717,5,0.0,0.0
closed_loop,nfcorpus,10.0,31,CWC,436,3.3179149020958794,1.7980000702664256,7.106841017957777,7.517691655084491,0.0,0.08842833910764014,299.6949753960086,1,2.147112933517254,0.22070210025466364
closed_loop,nfcorpus,10.0,31,StaticBest-cal,436,1.6056014771718499,0.9028804488480091,3.4979727352038026,3.7327278987504537,0.0,0.08842833910764014,615.7653511965514,1,0.0,0.0
closed_loop,nfcorpus,10.0,31,CostGreedy-cal,436,1.6267614689048961,0.9325100108981133,3.471552685368806,3.80726048024371,0.0,0.08842833910764014,607.7004978249303,1,0.0,0.0
closed_loop,nfcorpus,10.0,31,Static-BestQuality,436,83.04679111808265,70.63723460305482,133.29862203681841,138.26903504086658,1.0,0.09939696061945,12.0365827276697,1,0.0,0.0
closed_loop,nfcorpus,10.0,31,Static-Fallback,436,1.591271352890127,0.9095615241676569,3.4239875385537744,3.70110998628661,0.0,0.08842833910764014,621.3798778232666,1,0.0,0.0
closed_loop,nfcorpus,10.0,31,Oracle-perItem,436,0.8314204169437289,0.6006330950185657,2.285980328451842,3.1635200371965726,0.0,0.11244105754664935,1164.6275887051033,5,0.0,0.0
closed_loop,nfcorpus,25.0,13,CWC,413,3.6379586985294163,2.2612318862229586,7.3500607162714005,7.927154293283819,0.0,0.09764844951334298,273.2413727598596,3,2.1566120325869567,0.228653812992948
closed_loop,nfcorpus,25.0,13,StaticBest-cal,413,1.6082512484254545,0.9151110425591469,3.5004294477403164,3.786301799118519,0.0,0.09857655881872242,614.8413177315779,1,0.0,0.0
closed_loop,nfcorpus,25.0,13,CostGreedy-cal,413,1.5865435122487477,0.9111531544476748,3.43142612837255,3.6754895374178886,0.0,0.09857655881872242,623.2568623650973,1,0.0,0.0
closed_loop,nfcorpus,25.0,13,Static-BestQuality,413,84.79352908932827,71.85922795906663,132.50314728356898,136.91711945459247,1.0,0.1148178915281045,11.788760291792157,1,0.0,0.0
closed_loop,nfcorpus,25.0,13,Static-Fallback,413,1.6057953254272372,0.9292918257415295,3.462941665202379,3.697891738265753,0.0,0.09857655881872242,615.8690461287579,1,0.0,0.0
closed_loop,nfcorpus,25.0,13,Oracle-perItem,413,3.1990123147113345,0.7158580701798201,20.747211575508114,24.28805568255484,0.004842615012106538,0.12806771699043504,309.5829010144338,6,0.0,0.0
closed_loop,nfcorpus,25.0,17,CWC,417,2.9690114092260456,2.038914943113923,6.8957059644162655,7.903375374153254,0.0,0.0990884226772884,333.71256208097725,4,2.1776497945841626,0.22327090441573152
closed_loop,nfcorpus,25.0,17,StaticBest-cal,417,1.624939454009207,0.9204659145325422,3.423800878226757,3.649816960096359,0.0,0.09997399203692924,608.5632795888246,1,0.0,0.0
closed_loop,nfcorpus,25.0,17,CostGreedy-cal,417,1.6256752915287331,0.9250419680029154,3.4875846467912197,3.7467187736183396,0.0,0.09997399203692924,608.318347999753,1,0.0,0.0
closed_loop,nfcorpus,25.0,17,Static-BestQuality,417,84.05260777500698,71.61634997464716,132.99432219937444,135.6957403384149,1.0,0.11205922079256127,11.892560555228656,1,0.0,0.0
closed_loop,nfcorpus,25.0,17,Static-Fallback,417,1.6212343518584251,0.9291381575167179,3.4365367610007524,3.737333314493297,0.0,0.09997399203692924,609.7816326588458,1,0.0,0.0
closed_loop,nfcorpus,25.0,17,Oracle-perItem,417,3.2027461376193043,0.7356097921729088,20.546246273443103,24.092629505321362,0.004796163069544364,0.12962578124039836,309.1129953498521,6,0.0,0.0
closed_loop,nfcorpus,25.0,23,CWC,431,3.3662283637511203,2.010941971093416,7.164566544815898,7.571722427383064,0.0,0.09436802991424831,294.7111618388366,4,2.140636408373091,0.22363687623421857
closed_loop,nfcorpus,25.0,23,StaticBest-cal,431,1.594991548518432,0.9157289750874043,3.474331460893154,3.659452032297849,0.0,0.09566274125569575,619.828852127863,1,0.0,0.0
closed_loop,nfcorpus,25.0,23,CostGreedy-cal,431,1.6018878873826594,0.9344089776277542,3.450834541581571,3.629856999032199,0.0,0.09566274125569575,617.261482484634,1,0.0,0.0
closed_loop,nfcorpus,25.0,23,Static-BestQuality,431,84.64980047474899,71.38365297578275,134.00500605348498,137.861198047176,1.0,0.1039786896906859,11.808681870042362,1,0.0,0.0
closed_loop,nfcorpus,25.0,23,Static-Fallback,431,1.6174691198761046,0.9299989324063063,3.4830505028367043,3.7357143126428127,0.0,0.09566274125569575,611.3890011083603,1,0.0,0.0
closed_loop,nfcorpus,25.0,23,Oracle-perItem,431,3.1838844635085204,0.7447360549122095,20.19894344266504,23.453408363275226,0.0069605568445475635,0.1241237213279959,310.9423999508945,6,0.0,0.0
closed_loop,nfcorpus,25.0,29,CWC,436,2.707888465695117,1.8001518910750747,6.531998806167394,7.221827830653636,0.0,0.09705354190835504,366.8818424013761,4,2.0532464499610965,0.21745937389381434
closed_loop,nfcorpus,25.0,29,StaticBest-cal,436,1.5822243059711925,0.9238765342161059,3.4345031599514186,3.729744185693561,0.0,0.09584184928777474,624.5228945130688,1,0.0,0.0
closed_loop,nfcorpus,25.0,29,CostGreedy-cal,436,1.5557027248870752,0.9330875473096967,3.3789686276577413,3.5980619140900663,0.0,0.09584184928777474,634.7549145100306,1,0.0,0.0
closed_loop,nfcorpus,25.0,29,Static-BestQuality,436,84.37252959445837,71.67884102091193,132.60806968901306,140.21003057714552,1.0,0.10901172420328578,11.84747447094168,1,0.0,0.0
closed_loop,nfcorpus,25.0,29,Static-Fallback,436,1.552199134752667,0.9548224043101072,3.323636425193399,3.599827596917748,0.0,0.09584184928777474,636.7931685446389,1,0.0,0.0
closed_loop,nfcorpus,25.0,29,Oracle-perItem,436,3.2885758352568457,0.7097839843481779,20.994998223613948,23.674686439335336,0.0022935779816513763,0.12672590176972398,301.24873728542667,6,0.0,0.0
closed_loop,nfcorpus,25.0,31,CWC,436,3.209122770077147,1.7600534483790398,6.886094517540187,7.363313820678737,0.0,0.08842833910764014,309.8727219561607,1,2.0846787096778736,0.2129100014267643
closed_loop,nfcorpus,25.0,31,StaticBest-cal,436,1.5427308074848025,0.8905909489840269,3.2883729436434805,3.482691792305559,0.0,0.08842833910764014,640.8152364491416,1,0.0,0.0
closed_loop,nfcorpus,25.0,31,CostGreedy-cal,436,1.5418682479162897,0.8945909794420004,3.322003176435828,3.615127829834817,0.0,0.08842833910764014,641.0732040900965,1,0.0,0.0
closed_loop,nfcorpus,25.0,31,Static-BestQuality,436,81.63494137842038,69.69875795766711,131.04037841549143,134.00055104866624,1.0,0.09939696061945,12.244740968529157,1,0.0,0.0
closed_loop,nfcorpus,25.0,31,Static-Fallback,436,1.5366197485741604,0.8886719588190317,3.312643966637552,3.548474970739335,0.0,0.08842833910764014,643.2734664924999,1,0.0,0.0
closed_loop,nfcorpus,25.0,31,Oracle-perItem,436,3.060175815635626,0.7158380467444658,20.459693972952664,24.914171313866973,0.009174311926605505,0.11605874035553025,323.40155054265057,6,0.0,0.0
closed_loop,nfcorpus,50.0,13,CWC,413,8.737789801847343,4.15812898427248,28.840226586908095,33.35312573239207,0.0,0.1025265843930921,114.18851095856523,3,2.278581201313086,0.2508959642749
closed_loop,nfcorpus,50.0,13,StaticBest-cal,413,1.7410685380438193,1.0632721241563559,3.6688340827822685,4.378276048228144,0.0,0.09857655881872242,567.456025248727,1,0.0,0.0
closed_loop,nfcorpus,50.0,13,CostGreedy-cal,413,1.5613718824258151,0.8954568766057491,3.342985361814499,3.585977600887418,0.0,0.09857655881872242,633.2095240281012,1,0.0,0.0
closed_loop,nfcorpus,50.0,13,Static-BestQuality,413,85.00054680638593,72.5878260564059,133.60578543506563,138.27346020378172,0.8426150121065376,0.1148178915281045,11.760003225721444,1,0.0,0.0
closed_loop,nfcorpus,50.0,13,Static-Fallback,413,1.56062661746819,0.8943839929997921,3.371479455381632,3.597826426848769,0.0,0.09857655881872242,633.5827235810491,1,0.0,0.0
closed_loop,nfcorpus,50.0,13,Oracle-perItem,413,4.896718332178656,0.7080661598592997,25.639136787503936,45.105616403743625,0.0,0.13126101047080604,202.95511193421467,7,0.0,0.0
closed_loop,nfcorpus,50.0,17,CWC,417,2.8858779906127734,2.02178000472486,6.710125971585511,7.728115832433104,0.0,0.0990884226772884,343.3140970895312,4,2.1137790134672425,0.216065781476865
closed_loop,nfcorpus,50.0,17,StaticBest-cal,417,1.5720911513862135,0.9020289871841669,3.3265051431953907,3.590920614078641,0.0,0.09997399203692924,628.9148044473968,1,0.0,0.0
closed_loop,nfcorpus,50.0,17,CostGreedy-cal,417,1.5761167105796525,0.904083950445056,3.3378334250301123,3.571427650749683,0.0,0.09997399203692924,627.1410334556366,1,0.0,0.0
closed_loop,nfcorpus,50.0,17,Static-BestQuality,417,84.29837372149531,71.53574912808836,134.71456542611122,146.30592597648493,0.8561151079136691,0.11205922079256127,11.857848624966122,1,0.0,0.0
