phase,dataset,budget_ms,offered_load_rho,arrival_qps,policy,completed,goodput_qps,resp_p50_ms,resp_p95_ms,resp_p99_ms,resp_slo_violation
open_loop,nfcorpus,25.0,0.5,327.3982042158163,CWC,240,273.81996808326113,68.60209500882775,112.7749102655798,118.89737133868039,0.9166666666666666
open_loop,nfcorpus,25.0,0.5,327.3982042158163,StaticBest-cal,240,316.07882017961055,3.4018034348264337,15.732925001066171,24.72004882758483,0.008333333333333333
open_loop,nfcorpus,25.0,0.5,327.3982042158163,CostGreedy-cal,240,315.6237865619007,3.34202591329813,9.02025614632292,13.463319139555097,0.0
open_loop,nfcorpus,25.0,0.5,327.3982042158163,Static-BestQuality,240,12.471463576546919,9460.354281123728,17524.85833928222,18322.807246774897,1.0
open_loop,nfcorpus,25.0,0.75,491.0973063237244,CWC,240,286.2846167864965,152.7995695360005,316.2978033302351,331.3640825171023,0.9416666666666667
open_loop,nfcorpus,25.0,0.75,491.0973063237244,StaticBest-cal,240,472.0005024856339,4.414396593347192,13.642854103818536,16.430090304929756,0.0
open_loop,nfcorpus,25.0,0.75,491.0973063237244,CostGreedy-cal,240,472.0738052878075,4.205868463031948,11.77776795811951,15.78781120479106,0.0
open_loop,nfcorpus,25.0,0.75,491.0973063237244,Static-BestQuality,240,12.356441883191312,9546.479423064739,17930.395682831295,18753.425493456885,1.0
open_loop,nfcorpus,25.0,1.0,654.7964084316326,CWC,240,279.2602553964312,222.33188606332988,453.5704600159078,477.3095528967678,0.9458333333333333
open_loop,nfcorpus,25.0,1.0,654.7964084316326,StaticBest-cal,240,607.6845832189077,17.66931952442974,27.176260482519865,30.11033879127353,0.09166666666666666
open_loop,nfcorpus,25.0,1.0,654.7964084316326,CostGreedy-cal,240,602.1617186366087,19.375119591131806,26.424483442679048,29.318371543195095,0.07916666666666666
open_loop,nfcorpus,25.0,1.0,654.7964084316326,Static-BestQuality,240,12.36898771486853,9745.537990005687,18021.54258887749,18859.41881800303,1.0
