mode,valid,budget_ms,seed,n_cells,n_eval,n_cal,n_sel,rho_mean,R_cert_bound,viol_certified,ndcg_certified,viol_static,ndcg_static,abstain_frac,deploy_signature,cert_upper_bounds_realized
selection,True,160.0,13,3,1557,514,514,4.398508719210709,0.21636989452768932,0.0006422607578676942,0.5870932591402862,0.0019267822736030828,0.6403948127943918,0.6763005780346821,external_qwen3_embedding_06b_post|external_splade_cocondenser_ensembledistil_post|external_splade_cocondenser_ensembledistil_post,True
as-released,False,160.0,17,3,1549,518,518,3.906317738738433,0.1944844019797868,0.0032278889606197547,0.6214697335987613,0.0032278889606197547,0.6285701501094293,0.0,external_qwen3_embedding_06b_pre|external_qwen3_embedding_06b_pre|dense_e5_base_v2_pre,True
union,True,160.0,17,3,1549,518,518,3.906317738738433,0.22740940690951691,0.0032278889606197547,0.6214697335987613,0.0032278889606197547,0.6285701501094293,0.0,external_qwen3_embedding_06b_pre|external_qwen3_embedding_06b_pre|dense_e5_base_v2_pre,True
selection,True,160.0,17,3,1549,518,518,3.906317738738433,0.1944844019797868,0.0012911555842479018,0.5711260730604478,0.0032278889606197547,0.6285701501094293,0.6868947708198838,external_qwen3_embedding_06b_pre|external_splade_cocondenser_ensembledistil_post|dense_e5_base_v2_pre,True
as-released,False,160.0,23,3,1585,500,500,4.379803969597018,0.23655041230680407,0.0037854889589905363,0.6368129297149656,0.0031545741324921135,0.6368129297149656,0.0,external_qwen3_embedding_06b_post|external_qwen3_embedding_06b_pre|external_qwen3_embedding_06b_pre,True
union,True,160.0,23,3,1585,500,500,4.379803969597018,0.2731812653578792,0.0037854889589905363,0.6368129297149656,0.0031545741324921135,0.6368129297149656,0.0,external_qwen3_embedding_06b_post|external_qwen3_embedding_06b_pre|external_qwen3_embedding_06b_pre,True
selection,True,160.0,23,3,1585,500,500,4.379803969597018,0.23655041230680407,0.0018927444794952682,0.5889098787650318,0.0031545741324921135,0.6368129297149656,0.6649842271293376,external_qwen3_embedding_06b_post|external_splade_cocondenser_ensembledistil_post|external_qwen3_embedding_06b_pre,True
as-released,False,160.0,29,3,1584,501,500,4.696749932764629,0.23492992385025668,0.003787878787878788,0.6409832478797257,0.0031565656565656565,0.6409832478797257,0.0,external_qwen3_embedding_06b_post|external_qwen3_embedding_06b_pre|external_qwen3_embedding_06b_pre,True
union,True,160.0,29,3,1584,501,500,4.696749932764629,0.2704470707847014,0.003787878787878788,0.6409832478797257,0.0031565656565656565,0.6409832478797257,0.0,external_qwen3_embedding_06b_post|external_qwen3_embedding_06b_pre|external_qwen3_embedding_06b_pre,True
selection,True,160.0,29,3,1584,501,500,4.696749932764629,0.23492992385025668,0.001893939393939394,0.5959391364293523,0.0031565656565656565,0.6409832478797257,0.67739898989899,external_qwen3_embedding_06b_post|external_splade_cocondenser_ensembledistil_post|external_qwen3_embedding_06b_pre,True
as-released,False,160.0,31,3,1608,489,488,4.684854311226425,0.2535999075437403,0.003109452736318408,0.633563978940921,0.003109452736318408,0.633563978940921,0.0,external_qwen3_embedding_06b_pre|external_qwen3_embedding_06b_pre|external_qwen3_embedding_06b_post,True
union,True,160.0,31,3,1608,489,488,4.684854311226425,0.27663446217254284,0.003109452736318408,0.633563978940921,0.003109452736318408,0.633563978940921,0.0,external_qwen3_embedding_06b_pre|external_qwen3_embedding_06b_pre|external_qwen3_embedding_06b_post,True
selection,True,160.0,31,3,1608,489,488,4.684854311226425,0.2535999075437403,0.0012437810945273632,0.5831149405735914,0.003109452736318408,0.633563978940921,0.6654228855721394,external_qwen3_embedding_06b_pre|external_splade_cocondenser_ensembledistil_post|external_qwen3_embedding_06b_post,True
as-released,False,80.0,13,4,1557,514,514,3.330132316706946,0.24465910588878514,0.0019267822736030828,0.6071864045465457,0.10854206807964033,0.6403948127943918,0.0,external_qwen3_embedding_06b_pre|external_splade_cocondenser_ensembledistil_post|external_splade_cocondenser_ensembledistil_post|rerank_depth_100,True
union,True,80.0,13,4,1557,514,514,3.330132316706946,0.26967387809493143,0.0019267822736030828,0.6071864045465457,0.10854206807964033,0.6403948127943918,0.0,external_qwen3_embedding_06b_pre|external_splade_cocondenser_ensembledistil_post|external_splade_cocondenser_ensembledistil_post|rerank_depth_100,True
selection,True,80.0,13,4,1557,514,514,3.330132316706946,0.24465910588878514,0.0019267822736030828,0.6071864045465457,0.10854206807964033,0.6403948127943918,0.0,external_qwen3_embedding_06b_pre|external_splade_cocondenser_ensembledistil_post|external_splade_cocondenser_ensembledistil_post|rerank_depth_100,True
as-released,False,80.0,17,4,1549,518,518,2.740421813412085,0.2612385134651651,0.0006455777921239509,0.5974821235838162,0.11620400258231117,0.6285701501094293,0.0,external_splade_cocondenser_ensembledistil_post|external_splade_cocondenser_ensembledistil_post|rrf_dense_e5_base_v2_pre|external_qwen3_embedding_06b_pre,True
union,True,80.0,17,4,1549,518,518,2.740421813412085,0.2944079169860952,0.0006455777921239509,0.5974821235838162,0.11620400258231117,0.6285701501094293,0.0,external_splade_cocondenser_ensembledistil_post|external_splade_cocondenser_ensembledistil_post|rrf_dense_e5_base_v2_pre|external_qwen3_embedding_06b_pre,True
