n_cells,budget_ms,mode,R_cert,viol,ndcg,abstain,upper_bounds,runs
3,80.0,as-released,0.22718690804165545,0.0006343914110133761,0.5827720697702379,0.6742002902910066,1.0,5
3,80.0,selection,0.22718690804165545,0.0006343914110133761,0.5827720697702379,0.6742002902910066,1.0,5
3,80.0,union,0.2601344366093338,0.0006343914110133761,0.5827720697702379,0.6742002902910066,1.0,5
3,120.0,as-released,0.22718690804165545,0.00472636815920398,0.583342021816535,0.6742002902910066,1.0,5
3,120.0,selection,0.22718690804165545,0.0,0.5828815251069102,0.6977077529775737,1.0,5
3,120.0,union,0.2601344366093338,0.00472636815920398,0.583342021816535,0.6742002902910066,1.0,5
3,160.0,as-released,0.22718690804165545,0.0029105940403350364,0.623984629854932,0.13526011560693643,1.0,5
3,160.0,selection,0.22718690804165545,0.0013927762620155244,0.5852366575937419,0.6742002902910066,1.0,5
3,160.0,union,0.2601344366093338,0.0029105940403350364,0.623984629854932,0.13526011560693643,1.0,5
4,80.0,as-released,0.26288573040354674,0.0013943820414381272,0.6039929875841963,0.0,1.0,5
4,80.0,selection,0.26288573040354674,0.0011438209666857063,0.5923529487525283,0.1858928844828528,1.0,5
4,80.0,union,0.28660448007350164,0.0013943820414381272,0.6039929875841963,0.0,1.0,5
4,120.0,as-released,0.26288573040354674,0.004353233830845771,0.6037286041916181,0.4215348437999003,1.0,5
4,120.0,selection,0.26288573040354674,0.0,0.6033356207654315,0.4423059880785073,1.0,5
4,120.0,union,0.28660448007350164,0.004353233830845771,0.6037286041916181,0.4215348437999003,1.0,5
4,160.0,as-released,0.26288573040354674,0.003167498343482114,0.6309049586934495,0.10404624277456646,1.0,5
4,160.0,selection,0.26288573040354674,0.001649680565162602,0.6054306220182348,0.5224054905660693,1.0,5
4,160.0,union,0.28660448007350164,0.003167498343482114,0.6309049586934495,0.10404624277456646,1.0,5
6,80.0,as-released,0.397705791369532,0.0013943820414381272,0.5948535258041342,0.15417442928950484,1.0,5
6,80.0,selection,0.397705791369532,0.0011438209666857063,0.591109430896237,0.2768263022072677,1.0,5
6,80.0,union,0.4289257673261047,0.0013943820414381272,0.5948535258041342,0.15417442928950484,1.0,5
6,120.0,as-released,0.397705791369532,0.0067940769486837475,0.5965209556025236,0.4881078223600615,1.0,5
6,120.0,selection,0.407660812096504,0.008601694766630811,0.6030339562040303,0.4343957500553488,1.0,5
6,120.0,union,0.4289257673261047,0.0067940769486837475,0.5965209556025236,0.4881078223600615,1.0,5
6,160.0,as-released,0.397705791369532,0.0034222131213182795,0.6296938752004331,0.0951830443159923,1.0,5
6,160.0,selection,0.397705791369532,0.0021597735276861836,0.6162005294360356,0.40321200003573077,1.0,5
6,160.0,union,0.4289257673261047,0.0034222131213182795,0.6296938752004331,0.0951830443159923,1.0,5
8,80.0,as-released,0.5495705392984721,0.0016475707008146308,0.6024182964529657,0.01464354527938343,1.0,5
8,80.0,selection,0.5495705392984721,0.0016475707008146308,0.5952755181324905,0.12349823032537637,1.0,5
8,80.0,union,0.5893927976772222,0.002546735761829403,0.6021863227015818,0.0,1.0,5
8,120.0,as-released,0.5495705392984721,0.0030135929217112896,0.6030006874326932,0.4025213861419779,1.0,5
8,120.0,selection,0.5500916663516315,0.0031420450732848283,0.6027687136813092,0.38787784086259447,1.0,5
8,120.0,union,0.5893927976772222,0.005595240683355842,0.6040464768498176,0.3376518886353511,1.0,5
8,160.0,as-released,0.5495705392984721,0.0020335109014235574,0.6331684423783356,0.047270391779062296,1.0,5
8,160.0,selection,0.5618179233315589,0.0015286197182989357,0.6215055370618696,0.19533457654911612,1.0,5
8,160.0,union,0.5893927976772222,0.0020335109014235574,0.6331684423783356,0.047270391779062296,1.0,5
12,80.0,as-released,0.7207973248186816,0.0016406699976454005,0.5961867366515995,0.16179948461011867,1.0,5
12,80.0,selection,0.7252028838537983,0.007322488179463582,0.5954072340791134,0.1713271847891702,1.0,5
12,80.0,union,0.7587746548996781,0.007322488179463582,0.6010721718148835,0.1196277674384015,1.0,5
12,120.0,as-released,0.7207973248186816,0.013715893986680178,0.6090191307623632,0.24285238382478375,1.0,5
12,120.0,selection,0.7252028838537983,0.011152452952342073,0.6089200325014783,0.28217074980430085,1.0,5
12,120.0,union,0.7587746548996781,0.015736096006882198,0.6139045659256472,0.20068066665306664,1.0,5
12,160.0,as-released,0.7207973248186816,0.0021578890108762934,0.6324952908915576,0.04059087989723828,1.0,5
12,160.0,selection,0.7288630844529429,0.0021578890108762934,0.6237378702782708,0.08152051191789678,1.0,5
12,160.0,union,0.7587746548996781,0.0021578890108762934,0.6324952908915576,0.04059087989723828,1.0,5
