dataset,budget_ms,seed,method,certificate,eb-nocorrection,point-estimate,posthoc-oracle,realized,ndcg10
pooled,80.0,13,CWC,0.08309603101725622,0.05324396387453509,0.004242982041204211,0.0031023784901758012,0.0031023784901758012,0.5763244839615206
pooled,80.0,13,StaticBest-cal,0.1645742381128294,0.13436656014655565,0.06186608675866148,0.0631507469443187,0.0631507469443187,0.5975546649437862
pooled,80.0,13,CostGreedy-cal,0.1645742381128294,0.13436656014655565,0.06186608675866148,0.0631507469443187,0.0631507469443187,0.5975546649437862
pooled,80.0,13,Static-Qwen3,0.1645742381128294,0.13436656014655565,0.06186608675866148,0.0631507469443187,0.0631507469443187,0.5975546649437862
pooled,80.0,13,Static-SPLADE,0.07878552558097987,0.05201321836933044,0.003932220239838805,0.002716161158895428,0.002716161158895428,0.5496473642904863
pooled,80.0,13,Static-ColBERTv2,0.8069267215961413,0.6687612166813675,0.5858755021911802,0.8756527415143603,0.8756527415143603,0.6250833723695731
pooled,80.0,13,Static-E5,0.06664217385723484,0.03986986664558542,0.0,0.001358080579447714,0.001358080579447714,0.40990248148065617
pooled,80.0,17,CWC,0.08697389729432847,0.04710565414458998,0.002215075931563416,0.004966887417218543,0.004966887417218543,0.4667347466311702
pooled,80.0,17,StaticBest-cal,0.17693486339958797,0.12719630980708693,0.05515656722291466,0.06231655001128923,0.06231655001128923,0.6027899010537734
pooled,80.0,17,CostGreedy-cal,0.17693486339958797,0.12719630980708693,0.05515656722291466,0.06231655001128923,0.06231655001128923,0.6027899010537734
pooled,80.0,17,Static-Qwen3,0.17693486339958797,0.12719630980708693,0.05515656722291466,0.06231655001128923,0.06231655001128923,0.6027899010537734
pooled,80.0,17,Static-SPLADE,0.08063051878243863,0.04581719779569708,0.0018897422096286968,0.002935199819372319,0.002935199819372319,0.5518966146469927
pooled,80.0,17,Static-ColBERTv2,0.8711129565310703,0.6785452571018399,0.5944089318555055,0.8795997417688831,0.8795997417688831,0.6243242048096022
pooled,80.0,17,Static-E5,0.07314635657113375,0.0383330355843922,0.0,0.0013547076089410702,0.0013547076089410702,0.4144568536298275
