coarsening,gamma_obs_mean,gamma_obs_max,gamma_plugin_mean,R_cert_obs,realized,valid_frac,kappa_star,plugin_dominates_frac,unbounded_cells,exch_mean_gap,exch_max_abs_gap,runs
sel,2.93892330560374,7.163398692810458,3.0098278221177646,0.3129355620504372,0.0009311671772827695,1.0,3.947582641302454,0.0,0.2,0.0011828488813023783,0.02702702702702703,15
sel_x_lat2,2.717228248604298,8.107758620689655,3.0098278221177646,0.48362618388695666,0.0009311671772827695,1.0,3.5999522113147946,0.6,0.8,0.0011816556554776869,0.03225806451612903,15
sel_x_lat4,3.6214352462848165,10.946502057613168,3.0098278221177646,0.5702528902672344,0.0009311671772827695,1.0,4.791952213108622,0.2,1.0,0.001321762136203773,0.07692307692307693,15
sel_x_lat4_x_bm25,inf,inf,3.0098278221177646,0.7127404326555778,0.0009311671772827695,1.0,inf,0.4,3.0,0.0010652056331733823,0.07692307692307693,15
