budget_ms,policy,mean_ms,p95_ms,p99_ms,slo_violation,ndcg10,throughput_qps
9.42,CWC,3.468576556410687,7.244059536606073,7.974362960085271,0.001199040767386091,0.10093723596900012,286.52490140811574
9.42,CostGreedy-cal,1.578184924237731,3.365813847631216,3.649967131204903,0.0,0.10135687774058022,626.3936171936303
9.42,Oracle-perItem,0.8530251225147221,2.351946802809833,3.4825312858447406,0.0,0.12476821867004742,1134.0485925830653
9.42,Static-BestQuality,86.20644184189459,136.56155867502093,149.86339170020074,1.0,0.11531821276398699,11.596972266670782
9.42,Static-Fallback,1.579132705550399,3.3943953691050406,3.619484631344676,0.0,0.10135687774058022,625.971495293735
9.42,StaticBest-cal,1.6142181190714406,3.4970936365425587,3.750194362364709,0.0,0.10135687774058022,612.2061689839711
20.59,CWC,3.492178270826434,7.25587448105216,7.951236432418226,0.0,0.10093723596900012,284.60724215075186
20.59,CostGreedy-cal,1.6002518092598388,3.3979687141254544,3.6039131507277484,0.0,0.10135687774058022,617.870666423416
20.59,Oracle-perItem,1.835533796703774,11.746127041987949,19.942731661722064,0.00724069654687872,0.12587147474218374,535.7088513685666
20.59,Static-BestQuality,87.40744550134595,141.2854469846934,152.54658489022404,1.0,0.11531821276398699,11.43607280528963
20.59,Static-Fallback,1.5892618939364556,3.399171447381377,3.6092567862942815,0.0,0.10135687774058022,621.9981420971742
20.59,StaticBest-cal,1.5930439857485914,3.4186094533652063,3.6783588910475373,0.0,0.10135687774058022,620.7179055719483
45.02,CWC,5.052809604779045,16.465578624047335,18.446944039314985,0.0,0.1034851747544178,216.73136595340443
45.02,CostGreedy-cal,1.6286730182734683,3.426824463531375,3.642239458858967,0.0,0.10135687774058022,608.0964800079333
45.02,Oracle-perItem,5.307430741093054,29.304520902223878,45.85539513733235,0.012048472602063627,0.13284349894614733,187.62080842018847
45.02,Static-BestQuality,89.27821860580033,143.74746733810753,154.34354392811653,0.9240307511859762,0.11531821276398699,11.204399732794732
45.02,Static-Fallback,1.746994989773517,3.6388735752552748,4.087447654455899,0.0,0.10135687774058022,566.7903562560757
45.02,StaticBest-cal,1.6385532194036347,3.466411074623465,3.8562545552849756,0.0,0.10135687774058022,604.1396375981262
98.41,CWC,28.43022239729778,66.15489800460608,91.81318414397538,0.013317191283292978,0.10539759379871187,70.20496745711016
98.41,CostGreedy-cal,36.945272177607976,81.45601777359843,86.51030265726148,0.002421307506053269,0.10160342769039564,27.082449342942795
98.41,Oracle-perItem,11.125495359830008,75.63841161318123,93.77743274904768,0.006030042793852086,0.1390811962268204,89.59525148708357
98.41,Static-BestQuality,88.09501868874011,139.20381974894553,148.48113106563687,0.3795559194291056,0.11531821276398699,11.357478812604938
98.41,Static-Fallback,19.664708114392514,42.10951158311218,46.45071176812052,0.0,0.10145001939176079,313.97967449645256
98.41,StaticBest-cal,65.00278832601467,112.4917957931757,118.54795538354664,0.31597191980072115,0.11133458920044925,15.600069092532285
