phase,dataset,budget_ms,offered_load_rho,arrival_qps,policy,completed,goodput_qps,resp_p50_ms,resp_p95_ms,resp_p99_ms,resp_slo_violation
open_loop,nfcorpus,20.59,0.6,403.5177649739399,CWC,240,287.1504688109464,98.75267650932074,209.22993392450735,219.8152770916931,0.9416666666666667
open_loop,nfcorpus,20.59,0.6,403.5177649739399,StaticBest-cal,240,388.8547697105148,3.221633960492909,8.771095017436892,11.823400617577127,0.0
open_loop,nfcorpus,20.59,0.6,403.5177649739399,CostGreedy-cal,240,382.08845428784565,4.333604010753334,24.37337969895452,35.120642962865524,0.0875
open_loop,nfcorpus,20.59,0.6,403.5177649739399,Static-BestQuality,240,12.390876973922637,9578.94881197717,17776.587799435947,18590.185519598886,1.0
open_loop,nfcorpus,20.59,0.8,538.02368663192,CWC,240,292.27680285951647,159.76864099502563,339.9767125723883,358.0030073714442,0.9458333333333333
open_loop,nfcorpus,20.59,0.8,538.02368663192,StaticBest-cal,240,516.2789129774704,8.797479327768087,20.591841300483793,22.575048217549913,0.058333333333333334
open_loop,nfcorpus,20.59,0.8,538.02368663192,CostGreedy-cal,240,516.5138882765428,5.618747090920806,17.746324953623112,20.32471960177645,0.008333333333333333
open_loop,nfcorpus,20.59,0.8,538.02368663192,Static-BestQuality,240,12.15165972745202,9777.32894406654,18298.299339448567,19124.315560713872,1.0
open_loop,nfcorpus,20.59,1.0,672.5296082898999,CWC,240,289.690678972083,216.4993779733777,434.31596971349785,456.68629234656686,0.95
open_loop,nfcorpus,20.59,1.0,672.5296082898999,StaticBest-cal,240,608.5782051610789,22.342939395457506,28.987874696031213,31.946771370712664,0.5583333333333333
open_loop,nfcorpus,20.59,1.0,672.5296082898999,CostGreedy-cal,240,615.5773667254955,20.671641104854643,31.858529208693653,35.067278370261185,0.5041666666666667
open_loop,nfcorpus,20.59,1.0,672.5296082898999,Static-BestQuality,240,12.328130998542735,9657.865953398868,18086.51093209628,18931.55443052761,1.0
