budget_ms,policy,mean_ms,p95_ms,p99_ms,slo_violation,ndcg10,throughput_qps
1.54,CWC,0.7049464655849443,0.8839906387341517,1.0419134073890741,0.002544682073742311,0.13101192237992257,1390.8142656989214
1.54,CostGreedy-cal,0.172030653396275,0.21541183038304249,0.25040347672378,0.0,0.1315944276901566,5457.779085426387
1.54,Oracle-perItem,0.2332743575413231,0.724194680030147,1.0162728303112072,0.0025470734199386953,0.1534163803833449,3910.728773361238
1.54,Static-BestQuality,26.1466267825726,31.246396026108414,35.04143787237506,1.0,0.13345874706898994,38.21438339801222
1.54,Static-Fallback,0.18057489728654505,0.23493405509119233,0.3127049251149097,0.0,0.1315944276901566,5153.151886240281
1.54,StaticBest-cal,0.17213264856627872,0.21689471711094177,0.2567323724118372,0.0,0.1315944276901566,5450.638972785226
3.83,CWC,2.077579219356855,3.1625088381891437,3.788943622106066,0.00951349947119058,0.13767673779023956,474.72369152112293
3.83,CostGreedy-cal,1.3665261390145333,2.2160572698339815,2.821966363117099,0.0,0.13762141096285094,718.2503872425937
3.83,Oracle-perItem,0.4995011241831453,1.871717891966302,2.802438454236832,0.0,0.15846572815869783,1908.2380872264894
3.83,Static-BestQuality,25.86309184172733,31.71335249595965,37.411528339143835,1.0,0.13345874706898994,38.634914129161125
3.83,Static-Fallback,1.4115832380796105,2.4620941219230494,2.6601730675126123,0.0,0.13762141096285094,697.1205178884967
3.83,StaticBest-cal,1.3214575157926822,1.8417441518977284,2.443763896978148,0.0,0.13762141096285094,742.3309252197091
9.52,CWC,2.1749537704481,3.4022248350083824,3.8734874005119004,0.0,0.13767673779023956,453.74672265464625
9.52,CostGreedy-cal,1.5143154335317457,2.728869494361182,2.977542008738965,0.0,0.13762141096285094,649.6361138961264
9.52,Oracle-perItem,0.502785645266754,1.899058903412272,2.400793587633716,0.0,0.15847141821762575,1896.9677822181395
9.52,Static-BestQuality,26.582414120765065,32.55892087472603,35.868253000080585,1.0,0.13345874706898994,37.595273035114495
9.52,Static-Fallback,1.4350418853607085,2.2637256653979416,2.8291896816032627,0.0,0.13762141096285094,683.2087687822042
9.52,StaticBest-cal,1.5022181562887018,2.593984423826138,3.0161597191666574,0.0,0.13762141096285094,653.6220165237249
23.66,CWC,2.2076159791911394,3.596725489478558,3.8886556712289653,0.0,0.13767673779023956,446.19009148681926
23.66,CostGreedy-cal,1.4086011990119813,2.230556980551531,2.659880136294913,0.0,0.13762141096285094,696.5964788436368
23.66,Oracle-perItem,0.9934836070178701,2.05376884744813,22.38941671870028,0.006334965795011781,0.1601615970970102,995.4995075978023
23.66,Static-BestQuality,26.771387704283754,33.240373653825365,38.10069491233056,0.866283352266357,0.13345874706898994,37.3367415112098
23.66,Static-Fallback,1.4901148761515994,2.683088586976131,2.9781738218540954,0.0,0.13762141096285094,658.0462429737435
23.66,StaticBest-cal,1.3731660608955731,1.9506262149661777,2.69144766110306,0.0,0.13762141096285094,713.5803018260423
58.82,CWC,13.192602422753284,28.86816572475557,34.71294614796838,0.0,0.13517715480897285,137.81864811959744
58.82,CostGreedy-cal,26.42963476460172,32.83739106652016,36.94048976991325,0.0,0.13345874706898994,37.8037687312128
58.82,Oracle-perItem,3.3708566123955896,25.447047497921933,52.327678529545416,0.004459244424737299,0.1655727776915849,295.8664455217535
58.82,Static-BestQuality,25.614621246047864,30.436013507035863,34.60773444113632,0.0,0.13345874706898994,39.01592041418802
58.82,Static-Fallback,9.804247235128294,13.49629343409712,15.384203408223888,0.0,0.13563313363522927,469.10560781497406
58.82,StaticBest-cal,26.045338970962774,31.455460807774212,35.327691078030824,0.0,0.13345874706898994,38.36256622183829
