phase,dataset,budget_ms,offered_load_rho,arrival_qps,policy,completed,goodput_qps,resp_p50_ms,resp_p95_ms,resp_p99_ms,resp_slo_violation
open_loop,nfcorpus,3.83,0.6,24.19929213316832,CWC,300,23.23997474676669,2.8677170630544424,4.224911006167531,5.008867732249199,0.11333333333333333
open_loop,nfcorpus,3.83,0.6,24.19929213316832,StaticBest-cal,300,23.242129476110687,2.050924929790199,3.062357078306377,3.885216063354163,0.013333333333333334
open_loop,nfcorpus,3.83,0.6,24.19929213316832,CostGreedy-cal,300,23.241205610750534,2.029060968197882,2.911951509304346,3.3759497245773638,0.0033333333333333335
open_loop,nfcorpus,3.83,0.6,24.19929213316832,Static-BestQuality,300,23.193880259144073,31.539488001726568,88.40985576389357,117.12578025646508,1.0
open_loop,nfcorpus,3.83,0.8,32.26572284422443,CWC,300,30.98448525751957,2.7597100706771016,4.181105538737029,5.711958759929981,0.08666666666666667
open_loop,nfcorpus,3.83,0.8,32.26572284422443,StaticBest-cal,300,30.988479032326627,2.016454003751278,3.056590212509036,3.8245151611044976,0.01
open_loop,nfcorpus,3.83,0.8,32.26572284422443,CostGreedy-cal,300,30.988205189847196,2.0034584449604154,3.0759505229070787,3.718011428136372,0.01
open_loop,nfcorpus,3.83,0.8,32.26572284422443,Static-BestQuality,300,30.8907119564913,67.80454644467682,167.20310749951753,190.0710110738873,1.0
open_loop,nfcorpus,3.83,1.0,40.332153555280534,CWC,300,38.724692321795985,3.0246215173974633,4.908066254574807,6.272369381040324,0.2966666666666667
open_loop,nfcorpus,3.83,1.0,40.332153555280534,StaticBest-cal,300,38.73411864377467,2.123355050571263,3.1352814752608538,4.363302669953552,0.016666666666666666
open_loop,nfcorpus,3.83,1.0,40.332153555280534,CostGreedy-cal,300,38.733285826141106,2.0006434060633183,3.042412386275828,3.5692957881838083,0.006666666666666667
open_loop,nfcorpus,3.83,1.0,40.332153555280534,Static-BestQuality,300,38.21856117588065,146.7578789452091,379.74137435667217,422.4537872779183,1.0
