drift_d,budget_ms,seed,policy,n_eval,violation,mean_ms,p95_ms,throughput_qps,ndcg10
0.0,80.0,13,BM25-only,1283,0.0,13.53189392902381,36.09306216239929,73.89948555945709,0.40093467905396707
0.0,80.0,13,Dense-only,1283,0.0,11.070757968872437,24.647267442196597,90.32805186525549,0.5372244307103361
0.0,80.0,13,Fixed-fusion(RRF),1283,0.005455962587685113,26.863875755536444,60.4170280341804,37.22471057788106,0.5130178886160094
0.0,80.0,13,Fixed-rerank@50,1283,0.028838659392049885,39.559908328137865,72.86119577190279,25.278117221741077,0.526709046866696
0.0,80.0,13,Fixed-rerank@100,1283,0.10054559625876851,53.86142040919788,89.06743232959508,18.566164657425755,0.526709046866696
0.0,80.0,13,SOTA-SPLADE,1283,0.0,17.73016891229552,39.8072075098753,56.40104191599211,0.5825675173384139
0.0,80.0,13,SOTA-Qwen3,1283,0.08651597817614964,40.25294968382175,110.16987124457933,24.84289990807592,0.6339510056613291
0.0,80.0,13,StaticBest-cal,1283,0.0,17.73016891229552,39.8072075098753,56.40104191599211,0.5825675173384139
0.0,80.0,13,CWC,1283,0.001558846453624318,23.140391792879036,47.72011627554892,43.21448007236112,0.6095899981245658
0.0,80.0,17,BM25-only,1266,0.0,13.99336099605507,37.4247832223773,71.46245996811733,0.3886518311019451
0.0,80.0,17,Dense-only,1266,0.0,11.288899312304896,24.823743849992752,88.5825953740238,0.5157722762634627
0.0,80.0,17,Fixed-fusion(RRF),1266,0.008688783570300158,27.229515927212567,60.39199512451887,36.7248541132023,0.49517155619731545
0.0,80.0,17,Fixed-rerank@50,1266,0.0315955766192733,40.427426185137215,73.54273825578392,24.735683034099292,0.5094275714837314
0.0,80.0,17,Fixed-rerank@100,1266,0.11927330173775672,54.905625237269916,89.76500399962069,18.21307007576339,0.5094275714837314
0.0,80.0,17,SOTA-SPLADE,1266,0.0,17.926746067454182,38.718423806130886,55.78257181962818,0.5601024755461173
0.0,80.0,17,SOTA-Qwen3,1266,0.08846761453396525,41.229563203344554,108.52862312458456,24.254440801809896,0.6218476634249014
0.0,80.0,17,StaticBest-cal,1266,0.0,17.926746067454182,38.718423806130886,55.78257181962818,0.5601024755461173
