budget_ms,policy,violation_no_drift,violation_max_drift,violation_delta,p95_ratio,throughput_ratio,ndcg_delta
80.0,StaticBest-cal,0.00015278838808250572,0.12446455013692292,0.12431176174884041,3.036074923542888,0.3744651352712431,0.06777001674635819
80.0,Fixed-rerank@100,0.10185294379528953,0.15461122879042427,0.05275828499513474,1.069203440090205,0.882187468805541,0.00891243891464788
80.0,SOTA-Qwen3,0.08590954451589317,0.12446455013692292,0.03855500562102976,1.122174879870461,0.7978241196965146,0.01512872313144753
80.0,Fixed-rerank@50,0.026738831708140592,0.04145370672038727,0.014714875012246678,1.0845083432520581,0.8574578272171517,0.00891243891464788
80.0,CWC,0.0015446618955656023,0.009962159249735673,0.008417497354170071,1.0770122530820316,0.8523989357631998,0.008950294346362075
80.0,Fixed-fusion(RRF),0.006604045156697479,0.011309777550218397,0.004705732393520918,1.0662433250637262,0.8334985240647798,0.0019259762488141874
80.0,SOTA-SPLADE,0.00015278838808250572,0.0005887825879608161,0.0004359941998783104,1.0702090203890227,0.8045291201607904,0.017237977379507052
80.0,BM25-only,0.0,0.0,0.0,1.086449452585189,0.7915856322087249,0.008489445349773028
80.0,Dense-only,0.0,0.0,0.0,1.0633043362072423,0.7967008638790044,0.004542659696517348
120.0,CWC,0.0,0.021453566439277674,0.021453566439277674,1.6701353223699547,0.696697569570057,0.02042301381449929
120.0,SOTA-Qwen3,0.03542087490458719,0.05157050267849121,0.016149627773904024,1.122174879870461,0.7978241196965146,0.01512872313144753
120.0,StaticBest-cal,0.03542087490458719,0.05157050267849121,0.016149627773904024,1.122174879870461,0.7978241196965146,0.01512872313144753
120.0,Fixed-rerank@100,0.003522545458445947,0.005652018292483409,0.002129472834037462,1.069203440090205,0.882187468805541,0.00891243891464788
120.0,Fixed-rerank@50,0.000300593791304122,0.00035297500083606326,5.2381209531941276e-05,1.0845083432520581,0.8574578272171517,0.00891243891464788
120.0,BM25-only,0.0,0.0,0.0,1.086449452585189,0.7915856322087249,0.008489445349773028
120.0,Dense-only,0.0,0.0,0.0,1.0633043362072423,0.7967008638790044,0.004542659696517348
120.0,Fixed-fusion(RRF),0.0,0.0,0.0,1.0662433250637262,0.8334985240647798,0.0019259762488141874
120.0,SOTA-SPLADE,0.0,0.0,0.0,1.0702090203890227,0.8045291201607904,0.017237977379507052
