budget_ms,policy,drift_d,violation,mean_ms,p95_ms,throughput_qps,ndcg10
80.0,BM25-only,0.0,0.0,13.462503855557582,36.57101871445775,74.31486872835396,0.3986033029810824
80.0,BM25-only,0.15,0.0,14.766326274671082,38.083555642515414,67.73643233654846,0.4020247797939266
80.0,BM25-only,0.3,0.0,16.022672596937376,39.145105360075824,62.41687169924353,0.4039013969191423
80.0,BM25-only,0.45,0.0,17.000205000437344,39.73256326280533,58.826582344842464,0.4070927483308554
80.0,CWC,0.0,0.0015446618955656023,22.962756674491374,47.92388647900521,43.67069925792788,0.5952447831118712
80.0,CWC,0.15,0.0008439537226583626,24.221868367136352,43.945535256020726,41.75834509130893,0.5795492219909978
80.0,CWC,0.3,0.0011438209666857063,25.817135362667223,45.33872614298759,38.75747516359245,0.5923529487525283
80.0,CWC,0.45,0.009962159249735673,26.98364381855191,51.61461295320091,37.224857571492485,0.6041950774582333
80.0,Dense-only,0.0,0.0,10.967698538558714,24.23254808411002,91.20379012798404,0.5287612051694282
80.0,Dense-only,0.15,0.0,12.01839285834773,24.747167443856593,83.21655358910391,0.5280292090189216
80.0,Dense-only,0.3,0.0,12.96800965299414,25.21802204661071,77.11776999232,0.5312413926394784
80.0,Dense-only,0.45,0.0,13.763218971707385,25.766573455184687,72.6621383840043,0.5333038648659455
80.0,Fixed-fusion(RRF),0.0,0.006604045156697479,26.451228929063717,58.753893651455634,37.81885204568274,0.5093531271054452
80.0,Fixed-fusion(RRF),0.15,0.008116814979300668,28.38157317781957,60.6455702546984,35.24211546745367,0.5085232046639462
80.0,Fixed-fusion(RRF),0.3,0.009395234742299401,30.210156759939384,61.523495717003925,33.1041956924639,0.50962838096012
80.0,Fixed-fusion(RRF),0.45,0.011309777550218397,31.72671038296638,62.645946927368605,31.52195736190084,0.5112791033542594
80.0,Fixed-rerank@100,0.0,0.10185294379528953,53.8111150747735,88.00548613442778,18.585649779554178,0.5211443797618365
80.0,Fixed-rerank@100,0.15,0.12059719012442241,56.455201354222105,90.33241411267518,17.714101157273085,0.5229486038389611
80.0,Fixed-rerank@100,0.3,0.13933512279643134,58.957912009102394,93.09413556348083,16.961576539261394,0.5267545201060873
80.0,Fixed-rerank@100,0.45,0.15461122879042427,60.99176576437003,94.09576852174102,16.396027335131162,0.5300568186764844
80.0,Fixed-rerank@50,0.0,0.026738831708140592,39.45280812695764,71.8875300424248,25.351159082620185,0.5211443797618365
80.0,Fixed-rerank@50,0.15,0.03263069534857791,41.87085818734388,74.42175278329253,23.884926530532216,0.5229486038389611
80.0,Fixed-rerank@50,0.3,0.037068113946226645,44.16345421303858,76.92429924587606,22.643875802610278,0.5267545201060873
80.0,Fixed-rerank@50,0.45,0.04145370672038727,46.00487690970969,77.96262610679267,21.737549784419866,0.5300568186764844
80.0,SOTA-Qwen3,0.0,0.08590954451589317,40.40558907000095,107.57315264083437,24.752782013436278,0.6266479765236717
80.0,SOTA-Qwen3,0.15,0.10018910802626164,44.189603181869145,114.41409795545039,22.630927691256577,0.6299752364089197
80.0,SOTA-Qwen3,0.3,0.1118970923210284,47.73376899089389,117.4583967775106,20.95096385132283,0.6360650238878867
80.0,SOTA-Qwen3,0.45,0.12446455013692292,50.639459635749674,120.71588964201507,19.748366519909517,0.6417766996551192
80.0,SOTA-SPLADE,0.0,0.00015278838808250572,17.77154955985888,38.39287515729666,56.27140469228243,0.574006682908761
80.0,SOTA-SPLADE,0.15,0.00027876202464761376,19.448703563453417,39.78632926009595,51.420751442583835,0.5788597592873896
80.0,SOTA-SPLADE,0.3,0.0006343914110133761,20.902823868454625,40.235977172851555,47.84303214246115,0.5859839242434424
80.0,SOTA-SPLADE,0.45,0.0005887825879608161,22.0898824133808,41.0884013120085,45.27198370729376,0.591244660288268
80.0,StaticBest-cal,0.0,0.00015278838808250572,19.412361743456255,39.76051075220108,52.73753057305275,0.574006682908761
80.0,StaticBest-cal,0.15,0.02033408705922576,25.6230104370125,55.764899987950926,43.132539842056474,0.5891292034567173
80.0,StaticBest-cal,0.3,0.1118970923210284,47.73376899089389,117.4583967775106,20.95096385132283,0.6360650238878867
80.0,StaticBest-cal,0.45,0.12446455013692292,50.639459635749674,120.71588964201507,19.748366519909517,0.6417766996551192
120.0,BM25-only,0.0,0.0,13.462503855557582,36.57101871445775,74.31486872835396,0.3986033029810824
120.0,BM25-only,0.15,0.0,14.766326274671082,38.083555642515414,67.73643233654846,0.4020247797939266
120.0,BM25-only,0.3,0.0,16.022672596937376,39.145105360075824,62.41687169924353,0.4039013969191423
120.0,BM25-only,0.45,0.0,17.000205000437344,39.73256326280533,58.826582344842464,0.4070927483308554
120.0,CWC,0.0,0.0,23.624929242826788,48.24767235854267,42.35040434997697,0.6014100128431841
120.0,CWC,0.15,0.0,24.747343219019193,47.45673721884937,40.48094219834039,0.6018247974425103
120.0,CWC,0.3,0.0,26.048792952707554,48.28438636782764,38.42916897879776,0.6033356207654315
120.0,CWC,0.45,0.021453566439277674,35.747213604714524,80.58014182813461,29.505423780938123,0.6218330266576834
120.0,Dense-only,0.0,0.0,10.967698538558714,24.23254808411002,91.20379012798404,0.5287612051694282
120.0,Dense-only,0.15,0.0,12.01839285834773,24.747167443856593,83.21655358910391,0.5280292090189216
120.0,Dense-only,0.3,0.0,12.96800965299414,25.21802204661071,77.11776999232,0.5312413926394784
120.0,Dense-only,0.45,0.0,13.763218971707385,25.766573455184687,72.6621383840043,0.5333038648659455
120.0,Fixed-fusion(RRF),0.0,0.0,26.451228929063717,58.753893651455634,37.81885204568274,0.5093531271054452
120.0,Fixed-fusion(RRF),0.15,0.0,28.38157317781957,60.6455702546984,35.24211546745367,0.5085232046639462
120.0,Fixed-fusion(RRF),0.3,0.0,30.210156759939384,61.523495717003925,33.1041956924639,0.50962838096012
120.0,Fixed-fusion(RRF),0.45,0.0,31.72671038296638,62.645946927368605,31.52195736190084,0.5112791033542594
120.0,Fixed-rerank@100,0.0,0.003522545458445947,53.8111150747735,88.00548613442778,18.585649779554178,0.5211443797618365
120.0,Fixed-rerank@100,0.15,0.004194366730447292,56.455201354222105,90.33241411267518,17.714101157273085,0.5229486038389611
120.0,Fixed-rerank@100,0.3,0.0046967018076693595,58.957912009102394,93.09413556348083,16.961576539261394,0.5267545201060873
120.0,Fixed-rerank@100,0.45,0.005652018292483409,60.99176576437003,94.09576852174102,16.396027335131162,0.5300568186764844
