coarsening,gamma_obs_mean,gamma_obs_max,gamma_plugin_mean,R_cert_obs,realized,valid_frac,kappa_star,plugin_dominates_frac,unbounded_cells,exch_mean_gap,exch_max_abs_gap,runs
sel,2.5199230042933887,4.67209162145871,3.330132316706946,0.2094186399277045,0.0019267822736030828,1.0,2.650974723947312,0.0,0.0,0.0008192146046755975,0.005319148936170213,1
sel_x_lat2,1.8120622597000813,2.6014254385964914,3.330132316706946,0.47259275691609365,0.0019267822736030828,1.0,0.8538633774977797,1.0,1.0,0.0011332971012710732,0.005847953216374269,1
sel_x_lat4,2.5796078182970157,4.162280701754386,3.330132316706946,0.5008150939339548,0.0019267822736030828,1.0,0.9578693147449839,1.0,1.0,0.001473447931965086,0.010309278350515464,1
sel_x_lat4_x_bm25,1.821269631100813,2.4339622641509435,3.330132316706946,0.5044341676905137,0.0019267822736030828,1.0,1.0131967350212887,0.0,2.0,0.00239858624609264,0.027777777777777776,1
