method,display,mean_score,satisfaction_rate,mean_latency_ms,mean_regret,avg_rank
ParetoProbe-Sys,Workload compiler,0.3537223311848639,0.9986111111111111,14.274898740718326,0.04877361995932571,3.716666666666667
QueryOnly-RF,Query-only RF,0.3452028209399513,0.9815716845878135,14.844961104771956,0.05729313020423829,5.816666666666666
StaticBest-cal,Static best,0.3446412078491797,0.9986111111111111,15.254204728010645,0.05785474329500997,6.116666666666666
CostGreedy-cal,Cost greedy,0.3446412078491797,0.9986111111111111,15.254204728010645,0.05785474329500997,6.116666666666666
ScalarTelemetry-RF,Scalar telemetry RF,0.33938920298810726,0.9653691756272401,13.821712106603455,0.06310674815608233,7.866666666666666
Static-bm25_pre,BM25 static,0.3197403792171168,1.0,2.00198472585232,0.08275557192707285,9.266666666666667
