phase,dataset,budget_ms,offered_load_rho,arrival_qps,policy,completed,goodput_qps,resp_p50_ms,resp_p95_ms,resp_p99_ms,resp_slo_violation
open_loop,nfcorpus,100.0,0.5,9.032764500522326,CWC,240,8.721464194093347,82.49811793211848,175.54343143710852,219.72127212909973,0.38333333333333336
open_loop,nfcorpus,100.0,0.5,9.032764500522326,StaticBest-cal,240,8.736681709413567,102.56445244885981,226.24938808148718,288.52550696814427,0.5083333333333333
open_loop,nfcorpus,100.0,0.5,9.032764500522326,CostGreedy-cal,240,8.736227994140062,100.15856102108955,230.47837415942922,297.2430740250274,0.5041666666666667
open_loop,nfcorpus,100.0,0.5,9.032764500522326,Static-BestQuality,240,8.689104769750342,180.8622656390071,501.29847781499836,727.2805573837832,0.7916666666666666
open_loop,nfcorpus,100.0,0.75,13.549146750783489,CWC,240,13.032235960054408,101.84917598962784,219.26003834232685,264.0798314055424,0.5083333333333333
open_loop,nfcorpus,100.0,0.75,13.549146750783489,StaticBest-cal,240,13.03184455329723,136.55591499991715,449.84814953058947,594.3740799790248,0.65
open_loop,nfcorpus,100.0,0.75,13.549146750783489,CostGreedy-cal,240,13.014776128636344,137.6763713778928,470.72237239917735,619.6853960654697,0.6791666666666667
open_loop,nfcorpus,100.0,0.75,13.549146750783489,Static-BestQuality,240,12.196071433911092,1057.2075370000675,1811.5984465344807,1882.6580010913312,0.9916666666666667
open_loop,nfcorpus,100.0,1.0,18.065529001044652,CWC,240,17.098427337314753,177.3260945919901,429.36995294876374,514.7880377457475,0.6958333333333333
open_loop,nfcorpus,100.0,1.0,18.065529001044652,StaticBest-cal,240,17.01711954998394,342.67660102341324,1073.767881281674,1135.4478142643347,0.9416666666666667
open_loop,nfcorpus,100.0,1.0,18.065529001044652,CostGreedy-cal,240,17.065351998059025,283.15819904673845,1010.852426069323,1062.8069135476835,0.8833333333333333
open_loop,nfcorpus,100.0,1.0,18.065529001044652,Static-BestQuality,240,12.324144971018145,3001.0082230437547,5476.230664784088,5667.720191190017,0.9958333333333333
