budget_ms,seed,n_cells,delta,n_items,n_cal_mean,n_cal_min,gamma_mean,R_cert,R_floor,R_statistical,Lhat_mean,realized_violation,ndcg10,valid,fraction
80.0,13,2,0.1,720,69.0,35,2.1646293704316353,0.3597047831514474,0.015883058797861897,0.3438217243535855,0.0048543689320388345,0.0,0.40449462142890447,True,0.1
80.0,17,2,0.1,720,70.5,39,2.4597782743708527,0.43398090848216986,0.04229963426807392,0.39168127421409593,0.00980392156862745,0.0136986301369863,0.5864254622320823,True,0.1
80.0,23,2,0.1,720,67.5,37,2.33968837438281,0.320761343449776,0.0,0.320761343449776,0.0,0.0044444444444444444,0.5469212991840499,True,0.1
80.0,29,2,0.1,720,63.5,37,2.640503802450402,0.36879647955918815,0.0,0.36879647955918815,0.0,0.021739130434782608,0.6910594841222021,True,0.1
80.0,31,2,0.1,720,67.5,35,2.515969033321559,0.3540429136227232,0.0,0.3540429136227232,0.0,0.0044444444444444444,0.5220992213316192,True,0.1
80.0,13,2,0.05,720,69.0,35,2.1646293704316353,0.42008194795263765,0.015883058797861897,0.40419888915477575,0.0048543689320388345,0.0,0.40449462142890447,True,0.1
80.0,17,2,0.05,720,70.5,39,2.4597782743708527,0.4996568593599929,0.04229963426807392,0.4573572250919189,0.00980392156862745,0.0136986301369863,0.5864254622320823,True,0.1
80.0,23,2,0.05,720,67.5,37,2.33968837438281,0.38103298518013373,0.0,0.38103298518013373,0.0,0.0044444444444444444,0.5469212991840499,True,0.1
80.0,29,2,0.05,720,63.5,37,2.640503802450402,0.4380940110146547,0.0,0.4380940110146547,0.0,0.021739130434782608,0.6910594841222021,True,0.1
80.0,31,2,0.05,720,67.5,35,2.515969033321559,0.42056822311776193,0.0,0.42056822311776193,0.0,0.0044444444444444444,0.5220992213316192,True,0.1
80.0,13,3,0.1,720,46.0,16,2.893604651162791,0.6459471369534581,0.3438202247191011,0.30212691223435695,0.020833333333333332,0.0,0.4186754593326345,True,0.1
80.0,17,3,0.1,720,47.0,18,4.043287037037037,0.773085760044278,0.04732978992660086,0.7257559701176771,0.037037037037037035,0.011428571428571429,0.5642903433235571,True,0.1
80.0,23,3,0.1,720,45.0,26,3.4235233456439897,0.5941936922452586,0.0,0.5941936922452586,0.0,0.004987531172069825,0.5777966148501658,True,0.1
80.0,29,3,0.1,720,42.333333333333336,16,1.4304267161410018,0.6868944290400454,0.25481798715203424,0.4320764418880112,0.0,0.021739130434782608,0.6910594841222021,True,0.1
80.0,31,3,0.1,720,45.0,20,1.6298028128171669,0.46791385244636724,0.0,0.46791385244636724,0.0,0.006666666666666667,0.5353926624044,True,0.1
80.0,13,3,0.05,720,46.0,16,2.893604651162791,0.6970953523036753,0.3438202247191011,0.35327512758457413,0.020833333333333332,0.0,0.4186754593326345,True,0.1
80.0,17,3,0.05,720,47.0,18,4.043287037037037,0.8443959297216896,0.04732978992660086,0.7988014833346762,0.037037037037037035,0.011428571428571429,0.5642903433235571,True,0.1
80.0,23,3,0.05,720,45.0,26,3.4235233456439897,0.6615154633006075,0.0,0.6615154633006075,0.0,0.004987531172069825,0.5777966148501658,True,0.1
80.0,29,3,0.05,720,42.333333333333336,16,1.4304267161410018,0.7600422950610004,0.25481798715203424,0.5052243079089662,0.0,0.021739130434782608,0.6910594841222021,True,0.1
80.0,31,3,0.05,720,45.0,20,1.6298028128171669,0.5471287701552272,0.0,0.5471287701552272,0.0,0.006666666666666667,0.5353926624044,True,0.1
80.0,13,4,0.1,720,34.5,4,1.5861404745125676,0.7795940104352409,0.26853932584269663,0.5110546845925444,0.015625,0.0,0.41800850506819565,True,0.1
80.0,17,4,0.1,720,35.25,4,2.0247685185185187,0.8034745414374269,0.27284231840040496,0.5306322230370221,0.027777777777777776,0.0136986301369863,0.581966197507431,True,0.1
80.0,23,4,0.1,720,33.75,3,3.6849828081844316,0.6270424907613037,0.0,0.6270424907613037,0.0,0.004987531172069825,0.5766405971404576,True,0.1
80.0,29,4,0.1,720,31.75,2,1.4304267161410018,0.7172535364309666,0.25481798715203424,0.46243554927893227,0.0,0.021739130434782608,0.6914508136398053,True,0.1
80.0,31,4,0.1,720,33.75,2,1.6130417893267333,0.5122832284695281,0.0,0.5122832284695281,0.0,0.00516795865633075,0.5551255029409287,True,0.1
80.0,13,4,0.05,720,34.5,4,1.5861404745125676,0.8338881388981917,0.26853932584269663,0.5828011614248688,0.015625,0.0,0.41800850506819565,True,0.1
80.0,17,4,0.05,720,35.25,4,2.0247685185185187,0.8547563571662428,0.27284231840040496,0.603443583522311,0.027777777777777776,0.0136986301369863,0.581966197507431,True,0.1
80.0,23,4,0.05,720,33.75,3,3.6849828081844316,0.6853756012919267,0.0,0.6853756012919267,0.0,0.004987531172069825,0.5766405971404576,True,0.1
80.0,29,4,0.05,720,31.75,2,1.4304267161410018,0.7904014024519216,0.25481798715203424,0.5355834152998874,0.0,0.021739130434782608,0.6914508136398053,True,0.1
80.0,31,4,0.05,720,33.75,2,1.6130417893267333,0.5901523881753535,0.0,0.5901523881753535,0.0,0.00516795865633075,0.5551255029409287,True,0.1
80.0,13,2,0.1,1439,139.5,72,2.4073415661115063,0.2113181641130797,0.01764001827013799,0.19367814584294168,0.004830917874396135,0.0011337868480725624,0.5596053458269135,True,0.2
80.0,17,2,0.1,1439,141.5,64,2.637445733252842,0.23684552379128293,0.018047980907921025,0.2187975428833619,0.0045662100456621,0.003436426116838488,0.5479823495975807,True,0.2
80.0,23,2,0.1,1439,137.0,74,2.63034046658301,0.2902145994308221,0.040282630947982935,0.24993196848283916,0.014256756756756757,0.0011210762331838565,0.5525302231229001,True,0.2
80.0,29,2,0.1,1439,131.0,59,2.515145936393295,0.22427971788505513,0.009363040356588243,0.21491667752846688,0.0024630541871921183,0.00546448087431694,0.5421582607377162,True,0.2
80.0,31,2,0.1,1439,135.0,66,2.309904379002236,0.2757458573066808,0.05597759719803233,0.21976826010864842,0.014705882352941176,0.014460511679644048,0.581910198165255,True,0.2
80.0,13,2,0.05,1439,139.5,72,2.4073415661115063,0.24439869350009855,0.01764001827013799,0.22675867522996054,0.004830917874396135,0.0011337868480725624,0.5596053458269135,True,0.2
80.0,17,2,0.05,1439,141.5,64,2.637445733252842,0.2745689830324811,0.018047980907921025,0.2565210021245601,0.0045662100456621,0.003436426116838488,0.5479823495975807,True,0.2
80.0,23,2,0.05,1439,137.0,74,2.63034046658301,0.32987012759737866,0.040282630947982935,0.28958749664939576,0.014256756756756757,0.0011210762331838565,0.5525302231229001,True,0.2
80.0,29,2,0.05,1439,131.0,59,2.515145936393295,0.2621708105033681,0.009363040356588243,0.2528077701467799,0.0024630541871921183,0.00546448087431694,0.5421582607377162,True,0.2
80.0,31,2,0.05,1439,135.0,66,2.309904379002236,0.31103341453570554,0.05597759719803233,0.2550558173376732,0.014705882352941176,0.014460511679644048,0.581910198165255,True,0.2
80.0,13,3,0.1,1439,93.0,40,2.064534812124323,0.29786690414442796,0.01984126984126984,0.2780256343031581,0.016666666666666666,0.0013227513227513227,0.5910128038733095,True,0.2
80.0,17,3,0.1,1439,94.33333333333333,43,1.9553548113330723,0.2455036448191893,0.0,0.2455036448191893,0.0,0.003436426116838488,0.553907799192008,True,0.2
80.0,23,3,0.1,1439,91.33333333333333,36,2.2967189127903413,0.32470784869130964,0.015960948275482424,0.3087469004158272,0.006537024829707756,0.0011210762331838565,0.5595908272830519,True,0.2
80.0,29,3,0.1,1439,87.33333333333333,41,2.1316162190041017,0.265891622605314,0.0,0.265891622605314,0.0,0.002484472049689441,0.5672488673316609,True,0.2
80.0,31,3,0.1,1439,90.0,47,2.062526155960954,0.25966931072138627,0.008496438122736847,0.2511728725986494,0.0070921985815602835,0.016645326504481434,0.6149622268362309,True,0.2
80.0,13,3,0.05,1439,93.0,40,2.064534812124323,0.3414492926665781,0.01984126984126984,0.3216080228253082,0.016666666666666666,0.0013227513227513227,0.5910128038733095,True,0.2
80.0,17,3,0.05,1439,94.33333333333333,43,1.9553548113330723,0.28706589163000873,0.0,0.28706589163000873,0.0,0.003436426116838488,0.553907799192008,True,0.2
80.0,23,3,0.05,1439,91.33333333333333,36,2.2967189127903413,0.3729595636865857,0.015960948275482424,0.3569986154111032,0.006537024829707756,0.0011210762331838565,0.5595908272830519,True,0.2
80.0,29,3,0.05,1439,87.33333333333333,41,2.1316162190041017,0.31090542780478586,0.0,0.31090542780478586,0.0,0.002484472049689441,0.5672488673316609,True,0.2
80.0,31,3,0.05,1439,90.0,47,2.062526155960954,0.3000528476362695,0.008496438122736847,0.2915564095135327,0.0070921985815602835,0.016645326504481434,0.6149622268362309,True,0.2
80.0,13,4,0.1,1439,69.75,4,1.9006546641242505,0.3099391491808697,0.01984126984126984,0.29009787933959985,0.0125,0.0013227513227513227,0.5892028341310448,True,0.2
80.0,17,4,0.1,1439,70.75,11,1.6266152438945556,0.2706564261493619,0.0,0.2706564261493619,0.0,0.003436426116838488,0.5548588608645693,True,0.2
80.0,23,4,0.1,1439,68.5,9,2.2862969158363016,0.3554551982874221,0.009862750093371491,0.34559244819405066,0.0033783783783783786,0.00129366106080207,0.5779386336957407,True,0.2
80.0,29,4,0.1,1439,65.5,10,1.9604733080658296,0.2999604325508143,0.0,0.2999604325508143,0.0,0.002484472049689441,0.5667030359724415,True,0.2
80.0,31,4,0.1,1439,67.5,9,2.1374306625577812,0.30345963643034374,0.008496438122736847,0.2949631983076069,0.005319148936170213,0.016624040920716114,0.6135630780972817,True,0.2
80.0,13,4,0.05,1439,69.75,4,1.9006546641242505,0.3488783342245753,0.01984126984126984,0.3290370643833055,0.0125,0.0013227513227513227,0.5892028341310448,True,0.2
80.0,17,4,0.05,1439,70.75,11,1.6266152438945556,0.3100261232323349,0.0,0.3100261232323349,0.0,0.003436426116838488,0.5548588608645693,True,0.2
80.0,23,4,0.05,1439,68.5,9,2.2862969158363016,0.40329359573304,0.009862750093371491,0.39343084563966857,0.0033783783783783786,0.00129366106080207,0.5779386336957407,True,0.2
80.0,29,4,0.05,1439,65.5,10,1.9604733080658296,0.34360482593247227,0.0,0.34360482593247227,0.0,0.002484472049689441,0.5667030359724415,True,0.2
80.0,31,4,0.05,1439,67.5,9,2.1374306625577812,0.34365568486720044,0.008496438122736847,0.3351592467444636,0.005319148936170213,0.016624040920716114,0.6135630780972817,True,0.2
80.0,13,2,0.1,2518,243.0,127,2.4927413917364083,0.09537188646000555,0.0,0.09537188646000555,0.0,0.0029069767441860465,0.45030545737865474,True,0.35
80.0,17,2,0.1,2518,249.0,141,2.551597895494539,0.09199515833791228,0.0,0.09199515833791228,0.0,0.008535784635587657,0.5921470608308113,True,0.35
80.0,23,2,0.1,2518,247.5,117,2.5691288189195634,0.09740307139984226,0.0,0.09740307139984226,0.0,0.0049261083743842365,0.45208865385867775,True,0.35
80.0,29,2,0.1,2518,237.5,119,2.4747189680904564,0.09717912897539854,0.0,0.09717912897539854,0.0,0.001913265306122449,0.4211803818366456,True,0.35
80.0,31,2,0.1,2518,235.0,125,2.3947082354828737,0.12293032481095528,0.010193539472041607,0.11273678533891367,0.002898550724637681,0.0031665611146295125,0.5414876408811217,True,0.35
80.0,13,2,0.05,2518,243.0,127,2.4927413917364083,0.11329243795179042,0.0,0.11329243795179042,0.0,0.0029069767441860465,0.45030545737865474,True,0.35
80.0,17,2,0.05,2518,249.0,141,2.551597895494539,0.10928121645400925,0.0,0.10928121645400925,0.0,0.008535784635587657,0.5921470608308113,True,0.35
80.0,23,2,0.05,2518,247.5,117,2.5691288189195634,0.1157052862481441,0.0,0.1157052862481441,0.0,0.0049261083743842365,0.45208865385867775,True,0.35
80.0,29,2,0.05,2518,237.5,119,2.4747189680904564,0.11543926463351764,0.0,0.11543926463351764,0.0,0.001913265306122449,0.4211803818366456,True,0.35
